ST,G,MS,MV,M2S,M2V,M3
73.87,73.87,76.13,76.13,76.83,75.09, 75.96 
75.04,74.72,73.12,73.12,76.40,75.28, 75.92 
84.07,84.37,77.88,77.88,82.60,82.89,83.78
42.11,42.11,42.11,42.11,42.11,42.11,42.11
89.61,89.66,89.61,89.61,89.66,89.66,90.74
65.63,64.58,67.71,67.71,68.75,67.19,65.63
42.18,42.65,39.34,39.34,43.60,43.60,44.08
93.96,93.96,93.63,93.63,93.63,93.63,93.96
62.58,62.45,62.83,62.83,62.83,62.83,65.21
70.97,70.43,75.27,75.27,69.35,69.35,69.35
55.77,55.77,55.77,55.77,55.77,55.77,55.77
64.00,64.00,64.00,64.00,64.00,64.00,64.00
76.67,76.67,78.75,78.75,76.25,76.25,75.83
77.50,77.56,77.50,77.50,77.56,77.56,77.50
95.74,95.74,95.74,95.74,95.74,95.74,95.74
74.76,74.47,76.91,76.91,76.33,76.33,75.53
57.78,57.78,60.00,60.00,57.78,57.78,57.78
76.14,76.14,77.27,77.27,77.27,21.11,76.14
69.04,67.36,65.27,65.27,71.55,71.55,71.55
97.08,97.35,97.19,97.19,97.35,97.35,97.14
84.32,84.32,82.75,82.75,82.40,82.40,84.32
68.48,62.24,33.84,33.84,66.88,66.88,64.96
83.48,83.48,85.25,85.25,83.48,83.48,83.48
73.68,73.68,73.68,73.68,73.68,73.68,73.68
98.47,98.47,98.47,98.47,98.47,98.47,98.47
65.10,65.10,66.15,65.10,65.10,65.10,65.10
53.08,53.08,54.03,54.03,53.08,53.08,53.08
94.62,94.62,94.62,94.62,94.62,94.62,94.62
92.87,92.87,93.62,93.62,89.24,89.24,92.87
76.34,76.34,76.34,76.34,76.34,76.34,76.34
67.31,67.31,67.31,67.31,67.31,67.31,67.31
48.00,48.00,48.00,48.00,48.00,48.00,48.00
76.25,76.25,46.25,46.25,76.25,76.25,76.25
95.39,95.39,95.39,95.39,95.39,95.39,95.39
97.16,97.16,97.16,97.16,97.16,97.16,97.16
80.87,80.29,73.13,73.13,80.07,77.82,80.44
71.11,71.11,71.11,71.11,71.11,71.11,71.11
72.73,72.73,72.73,72.73,72.73,72.73,72.73
69.04,73.64,65.27,65.27,69.04,69.04,73.64
72.59,72.05,49.95,49.95,73.57,73.57,79.35
61.85,58.71,35.37,35.37,67.42,67.42,68.12
65.52,71.84,52.88,52.88,70.16,70.16,66.08
74.93,74.93,76.99,76.99,74.93,74.93,79.94
73.68,73.68,73.68,73.68,73.68,73.68,73.68
83.95,83.95,83.95,83.95,83.95,83.95,83.95
70.31,70.31,70.31,70.31,70.31,70.31,63.02
43.13,43.60,33.65,33.65,40.76,40.76,43.13
93.05,93.05,92.47,95.86,93.05,93.13,93.22
90.86,90.86,90.86,90.86,90.86,90.86,90.86
76.34,76.34,76.34,76.34,76.34,76.34,76.34
71.15,71.15,71.15,71.15,71.15,71.15,59.62
48.00,48.00,48.00,48.00,48.00,48.00,48.00
76.25,76.25,46.25,46.25,76.25,76.25,76.25
88.11,88.48,87.99,87.99,88.84,88.84,88.54
97.16,97.16,97.16,97.16,97.16,97.16,92.59
75.24,76.11,72.98,72.98,77.60,77.60,76.76
71.11,71.11,71.11,71.11,71.11,71.11,71.11
70.45,70.45,70.45,70.45,70.45,70.45,70.45
69.46,69.46,65.27,65.27,69.46,69.46,69.46
79.95,77.78,82.00,82.00,80.86,80.86,80.32
