FC1Ss,FC1Sv,FC1s,FC1v,FC2
33.33,33.33,33.33,33.33,33.33
58.14,58.14,58.14,58.14,58.14
85.19,85.19,85.37,85.37,85.19
67.44,67.44,66.32,66.32,66.32
83.48,83.48,83.48,83.48,83.48
73.68,73.68,73.68,73.68,73.68
98.47,98.47,98.47,98.47,98.47
65.10,65.10,58.85,65.10,65.10
54.98,54.98,53.08,53.08,53.08
94.62,94.62,94.62,94.62,94.62
89.86,89.86,92.99,92.99,92.87
76.34,76.34,76.34,76.34,76.34
54.44,54.44,44.44,44.44,60.00
67.31,67.31,67.31,67.31,67.31
75.29,75.29,64.37,64.37,64.37
71.23,71.23,71.23,71.23,71.23
48.00,48.00,48.00,48.00,48.00
76.25,76.25,76.25,76.25,76.25
44.20,44.20,50.00,44.80,47.60
95.03,95.03,95.39,95.39,95.39
97.16,97.16,97.16,97.16,97.16
83.49,83.49,79.31,79.16,81.78
71.11,71.11,71.11,71.11,71.11
33.33,33.33,33.33,33.33,33.33
36.09,36.09,40.85,40.85,34.59
72.73,72.73,72.73,72.73,72.73
73.64,73.64,73.64,73.64,73.64
76.81,76.81,73.24,76.65,79.03
45.07,45.07,45.07,46.71,46.38
62.18,62.18,62.82,62.82,62.82
78.42,78.42,72.85,72.85,79.81
88.89,88.89,94.44,94.44,94.44
50.00,50.00,46.51,46.51,46.51
79.27,79.27,74.39,75.96,75.96
76.64,76.64,75.36,75.92,75.92
81.42,81.42,83.48,83.48,84.07
56.58,56.58,42.11,42.11,42.11
92.17,92.17,90.10,90.74,90.74
67.71,67.71,68.75,65.63,65.63
36.97,36.97,42.65,44.08,44.08
77.75,77.75,93.63,93.63,93.96
65.83,65.83,63.70,65.21,65.21
71.51,71.51,71.51,69.35,69.35
39.26,39.26,28.52,28.52,20.00
50.00,50.00,55.77,55.77,55.77
26.44,26.44,49.71,49.71,47.41
47.95,47.95,47.95,47.26,47.26
92.00,92.00,64.00,64.00,64.00
77.50,77.50,75.83,75.83,75.83
73.40,73.40,85.00,85.40,85.40
82.05,82.05,77.68,77.50,77.50
86.75,86.75,95.74,95.74,95.74
77.42,77.42,75.49,76.04,75.53
57.78,57.78,57.78,57.78,57.78
64.81,64.81,68.52,68.52,68.52
61.90,61.90,65.66,65.66,65.91
71.59,71.59,77.27,77.27,76.14
60.67,60.67,67.36,69.04,69.04
97.35,97.35,97.24,97.14,97.14
50.66,50.66,50.33,50.33,50.33
54.49,54.49,53.85,56.41,56.41
73.78,73.78,70.07,70.07,70.07
33.33,33.33,33.33,33.33,33.33
58.14,58.14,58.14,58.14,58.14
69.86,69.86,70.91,71.08,68.12
70.80,70.80,70.40,71.60,68.72
76.99,76.99,81.12,81.12,79.94
73.68,73.68,73.68,73.68,73.68
83.95,83.95,83.95,83.95,83.95
70.31,70.31,70.31,70.31,63.02
38.39,38.39,37.91,37.91,43.13
92.47,92.47,93.05,93.05,93.22
90.86,90.86,90.86,90.86,90.86
76.34,76.34,76.34,76.34,76.34
49.63,49.63,42.96,42.96,47.78
73.08,73.08,71.15,71.15,59.62
62.64,62.64,68.39,68.39,64.37
71.23,71.23,71.23,71.23,51.37
48.00,48.00,48.00,48.00,48.00
76.25,76.25,76.25,76.25,76.25
51.20,51.20,40.00,40.00,46.60
86.48,86.48,89.21,86.90,88.54
97.16,97.16,97.16,97.16,92.59
79.38,79.38,79.71,79.53,73.78
71.11,71.11,71.11,71.11,71.11
77.78,77.78,77.78,77.78,77.78
27.57,27.57,34.59,34.59,30.08
70.45,70.45,70.45,70.45,70.45
71.97,71.97,69.46,69.46,69.46
80.76,80.76,79.89,80.05,73.03
56.25,56.25,56.25,56.25,56.25
61.54,61.54,61.54,61.54,64.10
74.94,74.94,77.73,77.73,77.73
