"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"86,66667";"73,33333";"96,66667";"90";"93,33333"
"2";"bupa";"60,29412";"58,82353";"58,82353";"58,82353";"60,29412"
"3";"segment";"80,30303";"85,28139";"87,01299";"88,96104";"88,52814"
"4";"waveform-5000";"33,8";"33,93214";"33,86454";"36,67335";"38,77756"
"5";"phishingData";"79,24955";"82,01993";"82,35294";"83,63472";"84,49367"
"6";"mushroom";"89,03941";"84,99385";"90,33251";"92,12792";"92,00492"
"7";"pima";"65,78947";"65,78947";"66,88312";"66,44737";"68,42105"
"8";"vehicle";"53,57143";"65,69767";"65,47619";"68,45238";"67,2619"
"9";"wilt";"94,7314";"94,6281";"94,7314";"94,6281";"94,7314"
"10";"kr-vs-kp";"65,83072";"67,96875";"71,31661";"72,57053";"70,9375"
"11";"blood-transfusion-service";"79,05405";"77,7027";"78,37838";"78,66667";"78,37838"
"12";"cnae-9";"50,92593";"57,87037";"68,98148";"72,68519";"70,37037"
"13";"connectionist-mines-vs-rocks";"60";"76,19048";"73,80952";"79,54545";"76,19048"
"14";"flare";"30,14184";"29,92701";"29,92701";"36,42857";"34,92647"
"15";"indian-liver-patient";"72,41379";"72,41379";"72,41379";"72,41379";"72,80702"
"16";"leukemia-haslinger";"90,90909";"95";"95";"100";"100"
"17";"mammographic-mass";"79,89691";"84,02062";"84,02062";"86,08247";"84,02062"
"18";"mfeat-karhunen";"64,75";"77,25";"78";"81,75";"86,25"
"19";"musk";"90,45455";"92,87879";"93,87292";"94,91654";"95,68182"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"87,02359";"88,77273";"89,70856";"90,60799";"91,24319"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"75";"75"
"23";"seeds";"88,09524";"90,47619";"95,2381";"92,85714";"95,2381"
"24";"semeion";"56,875";"62,89308";"71,5625";"71,875";"74,5283"
"25";"spectf-heart";"74,28571";"74,28571";"78,57143";"74,28571";"80,55556"
"26";"tic-tac-toe";"65,625";"66,14583";"66,14583";"66,31579";"66,66667"
"27";"twonorm";"92,83784";"92,76049";"92,96346";"92,89581";"92,96346"
"28";"hill-valley-with-noise";"58,75";"55,3719";"58,75";"58,26446";"56,66667"
"29";"balance-scale";"46,77419";"47,54098";"46,8254";"46,8254";"48,4127"
"30";"car";"70,76023";"70,76023";"70,76023";"70,76023";"70,76023"
