"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"73,33333";"90";"83,33333";"86,66667";"83,33333"
"2";"bupa";"60,29412";"61,76471";"60,29412";"58,82353";"58,82353"
"3";"segment";"77,27273";"81,16883";"87,01299";"88,09524";"87,22944"
"4";"waveform-5000";"36,5";"43,88778";"43,5";"44,88978";"45,6"
"5";"phishingData";"81,04072";"80,01808";"83,04702";"82,71493";"82,98643"
"6";"mushroom";"88,66995";"89,96305";"80,1353";"82,04182";"92,91872"
"7";"pima";"68,42105";"70,39474";"69,73684";"70,12987";"71,42857"
"8";"vehicle";"63,69048";"62,94118";"65,47619";"69,64286";"67,05882"
"9";"wilt";"94,6281";"94,7314";"94,7314";"95,04132";"95,14463"
"10";"kr-vs-kp";"59,21875";"65,78125";"69,53125";"68,125";"71,25"
"11";"blood-transfusion-service";"76,35135";"77,33333";"77,02703";"76";"77,33333"
"12";"cnae-9";"58,33333";"67,59259";"65,74074";"64,35185";"69,44444"
"13";"connectionist-mines-vs-rocks";"66,66667";"71,42857";"80,95238";"71,42857";"73,80952"
"14";"flare";"33,45324";"31,0219";"37,05036";"41,36691";"42,80576"
"15";"indian-liver-patient";"72,41379";"72,41379";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"85";"81,81818";"75";"85";"80"
"17";"mammographic-mass";"79,16667";"82,29167";"84,02062";"82,29167";"81,95876"
"18";"mfeat-karhunen";"37,75";"46,5";"50,25";"52,25";"55"
"19";"musk";"77,5";"84,77273";"88,63636";"91,51515";"92,72727"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,44094";"97,43083"
"21";"pendigits";"75,95455";"80,19982";"83,46995";"84,27273";"85,42234"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"90,47619";"90,47619";"90,47619";"92,85714";"92,85714"
"24";"semeion";"34,71338";"42,45283";"45,625";"49,36306";"52,20126"
"25";"spectf-heart";"77,14286";"77,14286";"77,14286";"77,94118";"78,57143"
"26";"tic-tac-toe";"65,625";"67,89474";"66,66667";"65,625";"69,27083"
"27";"twonorm";"84,52703";"84,59459";"85";"86,23482";"86,68919"
"28";"hill-valley-with-noise";"54,95868";"54,16667";"59,09091";"59,50413";"55"
"29";"balance-scale";"51,6129";"54,83871";"54,7619";"56,34921";"53,96825"
"30";"car";"70,34884";"70,34884";"70,34884";"70,34884";"70,34884"
