"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"83,333333";"96,66667";"96,66667";"96,66667";"96,66667"
"2";"bupa";"61,428571";"58,82353";"58,82353";"61,42857";"60"
"3";"segment";"61,904762";"63,41991";"63,63636";"65,36797";"63,63636"
"4";"segment";"61,038961";"62,98701";"66,01732";"63,41991";"64,93506"
"5";"waveform-5000";"41,482966";"44,21158";"49,7996";"52,80561";"53,7"
"6";"phishingData";"57,097649";"58,77034";"58,99638";"66,72694";"75,11312"
"7";"mushroom";"90,640394";"90,64039";"90,76355";"90,8867";"91,07143"
"8";"pima";"76,623377";"74,34211";"73,02632";"74,02597";"74,67532"
"9";"vehicle";"45,882353";"45,2381";"48,23529";"44,70588";"45,83333"
"10";"wilt";"94,628099";"94,6281";"94,6281";"94,6281";"94,6281"
"11";"kr-vs-kp";"59,404389";"60,3125";"60,97179";"62,03125";"63,59375"
"12";"blood-transfusion-service";"79,333333";"77,7027";"78";"79,72973";"78,66667"
"13";"cnae-9";"28,703704";"24,07407";"23,14815";"21,2963";"18,51852"
"14";"connectionist-mines-vs-rocks";"61,904762";"65";"67,5";"70";"70"
"15";"flare";"40,57971";"47,85714";"43,52518";"46,76259";"48,55072"
"16";"indian-liver-patient";"68,103448";"42,24138";"41,37931";"41,37931";"41,37931"
"17";"leukemia-haslinger";"95";"95";"95,45455";"95,45455";"95,45455"
"18";"mammographic-mass";"83,505155";"84,53608";"86,08247";"84,02062";"86,08247"
"19";"mfeat-karhunen";"75,25";"76,5";"75,75";"77,75";"78"
"20";"musk";"77,045455";"76,77761";"78,07284";"78,13918";"76,70713"
"21";"ozone-onehr";"67,786561";"65,94488";"65,35433";"65,35433";"66,14173"
"22";"pendigits";"62,238399";"60,51913";"63,69427";"64,05823";"65,0772"
"23";"planning-relax";"77,777778";"72,22222";"75";"75";"72,22222"
"24";"seeds";"97,619048";"97,61905";"95,2381";"97,61905";"95,2381"
"25";"semeion";"35,759494";"45,88608";"56,64557";"61,94969";"56,64557"
"26";"spectf-heart";"61,111111";"58,33333";"60,29412";"57,35294";"58,82353"
"27";"tic-tac-toe";"65,625";"65,625";"65,625";"65,625";"65,625"
"28";"twonorm";"92,963464";"93,03112";"93,03112";"93,16644";"92,90541"
"29";"hill-valley-with-noise";"55,737705";"55,32787";"55,3719";"53,68852";"54,54545"
"30";"balance-scale";"46,031746";"46,77419";"46,77419";"58,87097";"47,61905"
"31";"car";"70,760234";"70,76023";"70,76023";"70,76023";"70,76023"
