"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,333333";"80";"73,33333";"73,33333";"96,66667"
"2";"bupa";"58,823529";"58,82353";"58,82353";"58,82353";"58,82353"
"3";"segment";"79,004329";"83,11688";"88,09524";"85,71429";"90,90909"
"4";"waveform-5000";"34";"34";"34";"34";"33,86774"
"5";"phishingData";"80";"81,71946";"82,57919";"85,17179";"84,76492"
"6";"mushroom";"97,965475";"98,83149";"98,64699";"98,89299";"99,01599"
"7";"pima";"67,105263";"71,42857";"68,18182";"73,68421";"65,78947"
"8";"vehicle";"60,119048";"61,76471";"65,69767";"68,60465";"70,58824"
"9";"wilt";"94,628099";"94,6281";"94,6281";"94,6281";"94,6281"
"10";"kr-vs-kp";"71,786834";"70,78125";"71,40625";"74,6875";"79,375"
"11";"blood-transfusion-service";"77,027027";"77,02703";"77,02703";"77,02703";"77,02703"
"12";"cnae-9";"63,888889";"69,44444";"69,90741";"68,51852";"70,83333"
"13";"connectionist-mines-vs-rocks";"55";"60";"65";"57,5";"69,04762"
"14";"flare";"28,776978";"28,77698";"30,14706";"29,28571";"29,85612"
"15";"indian-liver-patient";"72,413793";"72,41379";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"50";"55,55556";"66,66667";"77,77778";"75"
"17";"mammographic-mass";"78,645833";"82,8125";"85,41667";"80,72917";"82,29167"
"18";"mfeat-karhunen";"26,75";"41,5";"45,5";"51,5";"52,25"
"19";"musk";"90,530303";"93,18182";"95,60606";"97,5";"98,25758"
"20";"ozone-onehr";"97,244094";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"77,140255";"80,93722";"82,72727";"85,44131";"85,86364"
"22";"planning-relax";"72,222222";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"92,857143";"95,2381";"97,61905";"97,61905";"97,61905"
"24";"semeion";"22,670807";"31,21019";"47,48428";"46,27329";"54,40252"
"25";"spectf-heart";"74,285714";"74,28571";"74,28571";"74,28571";"74,28571"
"26";"tic-tac-toe";"65,625";"65,625";"65,78947";"67,36842";"65,625"
"27";"twonorm";"50,067659";"78,71622";"79,93243";"82,43243";"80,74324"
"28";"hill-valley-with-noise";"53,305785";"53,27869";"59,42623";"59,58333";"59,58333"
"29";"balance-scale";"57,142857";"54,7619";"57,14286";"60,48387";"56,34921"
"30";"car";"70,348837";"70,34884";"70,34884";"70,34884";"70,34884"
