"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"63,33333";"63,33333";"66,66667";"73,33333"
"2";"bupa";"39,70588";"39,70588";"42,85714";"52,85714";"57,14286"
"3";"segment";"71,21212";"81,38528";"82,25108";"84,84848";"83,54978"
"4";"waveform-5000";"32,96593";"33";"33";"33";"33,2"
"5";"phishingData";"66,72694";"75,9276";"75,9276";"78,77828";"81,73599"
"6";"mushroom";"76,16995";"77,36777";"80,78818";"87,56158";"88,43788"
"7";"pima";"64,93506";"64,93506";"64,28571";"64,93506";"64,93506"
"8";"vehicle";"35,88235";"42,35294";"45,93023";"47,05882";"52,94118"
"9";"wilt";"94,43299";"94,43299";"94,43299";"94,43299";"94,53608"
"10";"kr-vs-kp";"54,375";"57,1875";"57,36677";"60,625";"63,4375"
"11";"blood-transfusion-service";"66,66667";"70,66667";"71,33333";"75";"69,33333"
"12";"cnae-9";"24,07407";"37,96296";"52,31481";"56,01852";"61,11111"
"13";"connectionist-mines-vs-rocks";"47,5";"42,5";"45,45455";"52,5";"54,54545"
"14";"flare";"28,36879";"28,05755";"28,36879";"28,46715";"28,05755"
"15";"indian-liver-patient";"70,68966";"70,68966";"70,33898";"70,33898";"70,33898"
"16";"leukemia-haslinger";"50";"70";"65";"60";"70"
"17";"mammographic-mass";"53,125";"54,16667";"71,57895";"71,13402";"71,13402"
"18";"mfeat-karhunen";"22";"62,25";"64,5";"73,5";"74,5"
"19";"musk";"80,04552";"85,98485";"89,75721";"91,81818";"93,18182"
"20";"ozone-onehr";"96,85039";"96,85039";"96,85039";"96,85039";"96,85039"
"21";"pendigits";"84,98635";"86,25227";"87,20401";"88,84335";"89,20145"
"22";"planning-relax";"68,42105";"68,42105";"66,66667";"68,42105";"68,42105"
"23";"seeds";"61,90476";"59,52381";"80,95238";"85,71429";"83,33333"
"24";"semeion";"30,12422";"49,68944";"58,07453";"64,77987";"66,98113"
"25";"spectf-heart";"44,44444";"59,72222";"68,57143";"65,71429";"54,28571"
"26";"tic-tac-toe";"64,94845";"64,94845";"64,73684";"64,94845";"64,73684"
"27";"twonorm";"90,54054";"90,13514";"90,74324";"90,60811";"90,54054"
"28";"hill-valley-with-noise";"45,04132";"43,85246";"41,73554";"47,54098";"44,67213"
"29";"balance-scale";"45,16129";"45,16129";"45,90164";"43,65079";"45,90164"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
