"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"36,66667";"50";"40";"63,33333"
"2";"bupa";"38,23529";"41,17647";"35,29412";"42,85714";"54,28571"
"3";"segment";"65,80087";"69,26407";"76,62338";"80,08658";"80,51948"
"4";"waveform-5000";"32,93413";"33";"33";"33,2";"39,5"
"5";"phishingData";"46,83258";"53,16456";"60,84991";"62,85068";"67,42081"
"6";"mushroom";"77,27833";"73,15271";"76,2931";"76,81427";"77,58621"
"7";"pima";"64,93506";"35,06494";"37,5";"64,93506";"64,93506"
"8";"vehicle";"33,13953";"50";"51,74419";"51,16279";"58,13953"
"9";"wilt";"94,42149";"94,42149";"94,42149";"94,61698";"94,52479"
"10";"kr-vs-kp";"51,40625";"55";"59,84375";"58,59375";"62,96875"
"11";"blood-transfusion-service";"71,62162";"75,33333";"74,66667";"67,56757";"70,94595"
"12";"cnae-9";"48,14815";"55,09259";"56,94444";"50,92593";"58,7963"
"13";"connectionist-mines-vs-rocks";"35,71429";"47,5";"50";"47,5";"45,2381"
"14";"flare";"24,08759";"28,05755";"27,69784";"28,83212";"28,77698"
"15";"indian-liver-patient";"43,96552";"66,37931";"70,68966";"70,33898";"70,68966"
"16";"leukemia-haslinger";"44,44444";"45";"40,90909";"35";"55"
"17";"mammographic-mass";"45,83333";"53,125";"53,125";"46,31579";"53,125"
"18";"mfeat-karhunen";"20,75";"33,5";"41,75";"43,75";"47,25"
"19";"musk";"46,1305";"53,33839";"83,33333";"86,74242";"88,99848"
"20";"ozone-onehr";"96,66667";"96,44269";"95,05929";"96,85039";"96,07843"
"21";"pendigits";"61,27273";"69,87238";"79,45455";"78,68852";"82,14936"
"22";"planning-relax";"52,63158";"44,44444";"68,42105";"58,33333";"55,55556"
"23";"seeds";"66,66667";"57,14286";"64,28571";"73,80952";"73,80952"
"24";"semeion";"24,21384";"31,21019";"39,0625";"37,5";"35,9375"
"25";"spectf-heart";"63,23529";"63,23529";"65,71429";"55,71429";"55,55556"
"26";"tic-tac-toe";"38,02083";"35,41667";"34,89583";"44,27083";"39,58333"
"27";"twonorm";"49,93234";"49,93252";"49,93234";"51,28378";"84,10014"
"28";"hill-valley-with-noise";"48,76033";"45,04132";"45,4918";"46,28099";"48,34711"
"29";"balance-scale";"39,51613";"35,48387";"40,32258";"45,16129";"41,93548"
"30";"car";"29,47977";"69,54023";"69,54023";"69,54023";"69,54023"
