"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"56,666667";"66,66667";"66,66667";"80";"83,33333"
"2";"bupa";"42,857143";"37,14286";"40";"41,42857";"41,17647"
"3";"segment";"50,21645";"55,84416";"56,06061";"57,14286";"58,00866"
"4";"segment";"49,350649";"53,67965";"54,97835";"56,27706";"56,27706"
"5";"waveform-5000";"33,066132";"38,54582";"45,80838";"47,9";"50,501"
"6";"phishingData";"49,141049";"52,21719";"54,74684";"55,74141";"57,50452"
"7";"mushroom";"85,424354";"85,42435";"85,67036";"85,60886";"86,03936"
"8";"pima";"35,064935";"66,23377";"67,53247";"64,93506";"65,13158"
"9";"vehicle";"30,357143";"26,19048";"30,58824";"23,52941";"32,7381"
"10";"wilt";"94,11157";"93,69835";"94,43299";"94,3299";"94,43299"
"11";"kr-vs-kp";"48,746082";"48,90282";"50,9375";"54,85893";"53,90625"
"12";"blood-transfusion-service";"58,666667";"58,66667";"66,66667";"66";"71,33333"
"13";"cnae-9";"13,425926";"14,81481";"14,35185";"11,11111";"12,96296"
"14";"connectionist-mines-vs-rocks";"38,095238";"47,61905";"42,85714";"40,47619";"47,61905"
"15";"flare";"31,294964";"13,04348";"34,28571";"36,42857";"35,97122"
"16";"indian-liver-patient";"32,758621";"33,89831";"33,05085";"33,89831";"33,05085"
"17";"leukemia-haslinger";"25";"80";"72,22222";"75";"72,22222"
"18";"mammographic-mass";"70,3125";"69,27083";"69,27083";"69,27083";"70,3125"
"19";"mfeat-karhunen";"65,5";"69";"67,25";"70";"70"
"20";"musk";"72,76176";"55,84219";"54,4697";"54,69697";"72,91351"
"21";"ozone-onehr";"57,70751";"59,64567";"58,69565";"56,52174";"58,89328"
"22";"pendigits";"54,318182";"58,05278";"59,02461";"59,77273";"62,26158"
"23";"planning-relax";"58,333333";"27,77778";"65,78947";"60,52632";"63,88889"
"24";"seeds";"66,666667";"78,57143";"78,57143";"78,57143";"76,19048"
"25";"semeion";"26,415094";"34,6875";"35,84906";"43,94904";"49,36306"
"26";"spectf-heart";"47,058824";"44,11765";"42,64706";"42,64706";"44,11765"
"27";"tic-tac-toe";"64,583333";"64,58333";"64,58333";"64,58333";"64,58333"
"28";"twonorm";"91,351351";"91,48649";"91,21622";"91,28378";"91,21622"
"29";"hill-valley-with-noise";"46,280992";"44,6281";"47,5";"45,86777";"45,83333"
"30";"balance-scale";"6,557377";"45,90164";"45,90164";"45,90164";"45,90164"
"31";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
