"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,333333";"33,33333";"56,66667";"63,33333";"60"
"2";"bupa";"41,176471";"42,85714";"52,94118";"42,85714";"41,17647"
"3";"segment";"63,636364";"71,64502";"78,35498";"79,87013";"82,90043"
"4";"waveform-5000";"33";"32,93413";"33";"33,06613";"33"
"5";"phishingData";"58,40868";"66,54611";"66,4557";"79,74684";"82,64014"
"6";"mushroom";"96,182266";"97,16749";"97,53998";"97,84748";"98,09113"
"7";"pima";"35,064935";"34,21053";"59,74026";"35,06494";"64,93506"
"8";"vehicle";"25,882353";"36,30952";"45,29412";"48,21429";"47,05882"
"9";"wilt";"94,43299";"94,43299";"94,43299";"94,43299";"94,43299"
"10";"kr-vs-kp";"53,761755";"58,46395";"52,8125";"63,32288";"67,96875"
"11";"blood-transfusion-service";"62,162162";"66,21622";"76";"76";"74,66667"
"12";"cnae-9";"51,851852";"50,92593";"62,5";"62,5";"61,57407"
"13";"connectionist-mines-vs-rocks";"47,619048";"45";"47,61905";"47,61905";"45,45455"
"14";"flare";"28,26087";"28,26087";"28,26087";"28,26087";"28,26087"
"15";"indian-liver-patient";"70,689655";"70,68966";"70,68966";"70,68966";"70,68966"
"16";"leukemia-haslinger";"44,444444";"45";"45,45455";"50";"50"
"17";"mammographic-mass";"53,125";"53,125";"54,16667";"53,125";"53,60825"
"18";"mfeat-karhunen";"10";"10";"15,25";"32,25";"38,5"
"19";"musk";"72,306525";"83,10606";"87,65152";"93,63636";"93,40909"
"20";"ozone-onehr";"96,850394";"96,85039";"96,85039";"96,85039";"96,85039"
"21";"pendigits";"60,346399";"69,47225";"77,15322";"81,48317";"83,3485"
"22";"planning-relax";"68,421053";"68,42105";"68,42105";"68,42105";"68,42105"
"23";"seeds";"47,619048";"61,90476";"64,28571";"78,57143";"66,66667"
"24";"semeion";"9,937888";"11,32075";"18,86792";"33,22981";"44,26752"
"25";"spectf-heart";"71,428571";"71,42857";"71,42857";"71,42857";"71,42857"
"26";"tic-tac-toe";"64,948454";"64,94845";"38,14433";"64,94845";"64,94845"
"27";"twonorm";"49,864865";"49,86486";"50";"49,93252";"49,93252"
"28";"hill-valley-with-noise";"46,280992";"47,10744";"49,58678";"45,04132";"44,21488"
"29";"balance-scale";"40,163934";"37,30159";"45,16129";"45,16129";"45,16129"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
