"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"60,666667";"68,000001";"74";"77,666668";"83,333333"
"2";"bupa";"56,794119";"54,071429";"56,554623";"57,407564";"58,126052"
"3";"segment";"77,099567";"83,571426";"84,805195";"86,774892";"86,861474"
"4";"waveform-5000";"33,159985";"33,539809";"33,309547";"34,091069";"35,110433"
"5";"phishingData";"75,326961";"79,425693";"80,655488";"82,170712";"82,813016"
"6";"mushroom";"79,548599";"81,431881";"85,678566";"90,287978";"90,337533"
"7";"pima";"65,30075";"65,170878";"65,365685";"65,236668";"65,693777"
"8";"vehicle";"46,222771";"53,538254";"54,522994";"58,111655";"60,950621"
"9";"wilt";"94,616695";"94,606365";"94,616695";"94,596013";"94,627004"
"10";"kr-vs-kp";"58,840877";"61,752181";"64,771345";"66,225788";"68,759197"
"11";"blood-transfusion-service";"75,474775";"75,672973";"75,74054";"76,602704";"75,272073"
"12";"cnae-9";"35,462962";"49,583333";"61,620369";"66,111111";"66,851851"
"13";"connectionist-mines-vs-rocks";"52,646105";"58,152598";"59,902597";"68,145021";"67,121212"
"14";"flare";"28,832172";"28,764382";"29,051631";"29,908262";"30,746521"
"15";"indian-liver-patient";"71,358495";"71,443241";"71,443241";"71,273749";"71,276723"
"16";"leukemia-haslinger";"69,813131";"84,505051";"82,914142";"80,914142";"84,570707"
"17";"mammographic-mass";"65,143358";"74,285835";"76,731022";"77,095088";"77,201426"
"18";"mfeat-karhunen";"51,225";"69,6";"72,375";"78,2";"81"
"19";"musk";"86,728625";"90,140739";"91,905881";"93,08917";"94,218039"
"20";"ozone-onehr";"97,121771";"97,121771";"97,121771";"97,102008";"97,121771"
"21";"pendigits";"86,107763";"87,882351";"88,718757";"89,637833";"90,256346"
"22";"planning-relax";"71,461986";"71,461986";"70,906431";"71,461986";"71,739764"
"23";"seeds";"74,761904";"84,523811";"86,904763";"88,57143";"88,57143"
"24";"semeion";"47,270938";"57,318002";"64,700884";"68,521507";"69,868036"
"25";"spectf-heart";"69,860175";"70,656627";"72,776376";"71,515172";"70,339636"
"26";"tic-tac-toe";"65,344954";"65,397037";"65,344405";"65,554383";"65,809935"
"27";"twonorm";"91,858239";"91,824364";"91,925805";"92,013627";"91,91223"
"28";"hill-valley-with-noise";"50,621607";"51,574392";"50,632863";"53,519705";"49,013323"
"29";"balance-scale";"45,918891";"46,082825";"46,320836";"45,76016";"46,799587"
"30";"car";"70,02447";"70,02447";"70,02447";"70,02447";"70,02447"
