"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"56,999999";"65,666667";"65,666667";"69,333333";"76,999998"
"2";"bupa";"53,865547";"53,512606";"51,726892";"53,953781";"57,840337"
"3";"segment";"71,471864";"76,515151";"81,428572";"84,329004";"84,112554"
"4";"waveform-5000";"33,880339";"34,712005";"37,412369";"40,089321";"43,219084"
"5";"phishingData";"58,395465";"63,845614";"67,456937";"71,17073";"76,258699"
"6";"mushroom";"80,532769";"78,779948";"78,606375";"78,840516";"82,206677"
"7";"pima";"65,498971";"62,709328";"63,321085";"66,214966";"66,73103"
"8";"vehicle";"46,532872";"56,208414";"60,593849";"59,916748";"62,246656"
"9";"wilt";"94,606327";"94,606326";"94,637317";"94,699301";"94,699301"
"10";"kr-vs-kp";"54,896061";"60,684758";"63,798442";"62,594386";"66,786442"
"11";"blood-transfusion-service";"75,197297";"76,272072";"76,072073";"74,788289";"75,130631"
"12";"cnae-9";"52,731482";"60,601852";"61,62037";"60,972222";"63,472223"
"13";"connectionist-mines-vs-rocks";"51,839828";"57,748916";"59,362554";"59,520563";"57,702381"
"14";"flare";"28,933939";"29,736055";"29,948462";"31,71081";"32,643491"
"15";"indian-liver-patient";"68,771006";"70,841433";"71,44342";"71,272468";"71,357214"
"16";"leukemia-haslinger";"58,489899";"61,792929";"57,646465";"62,176767";"69,540404"
"17";"mammographic-mass";"55,465072";"63,428894";"61,838569";"62,696981";"70,876876"
"18";"mfeat-karhunen";"30,425";"40,65";"45,2";"47,775";"50,7"
"19";"musk";"59,794776";"68,395893";"86,260863";"89,011472";"90,777256"
"20";"ozone-onehr";"97,10231";"97,003341";"96,747123";"97,082314";"97,043641"
"21";"pendigits";"70,35567";"76,267432";"80,581486";"81,872837";"83,592149"
"22";"planning-relax";"69,327484";"68,684208";"71,461986";"69,546781";"68,961987"
"23";"seeds";"75";"78,095239";"81,190477";"82,619047";"84,523808"
"24";"semeion";"30,703684";"37,314709";"41,684507";"43,044547";"44,951077"
"25";"spectf-heart";"72,608542";"71,016573";"71,50677";"70,368581";"71,979925"
"26";"tic-tac-toe";"56,791667";"62,53454";"60,292215";"62,368421";"61,155153"
"27";"twonorm";"53,648648";"61,270289";"66,220458";"80,194783";"85,405232"
"28";"hill-valley-with-noise";"50,454545";"49,713848";"51,121512";"51,109244";"51,11953"
"29";"balance-scale";"45,517154";"46,957246";"47,34639";"49,896312";"47,433436"
"30";"car";"58,110303";"70,024462";"70,024462";"70,024462";"70,024462"
