"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"67,6666668";"82,333335";"85,666668";"87";"88"
"2";"bupa";"56,1008401";"49,890756";"50,457983";"53,382352";"49,134455"
"3";"segment";"59,2424242";"59,675325";"59,30736";"61,168831";"61,017315"
"4";"segment";"55,7142857";"59,047619";"60,47619";"60,108225";"61,38528"
"5";"waveform-5000";"34,5513119";"41,92181";"47,429966";"50,070641";"52,010129"
"6";"phishingData";"54,1065763";"55,694222";"56,386409";"58,168108";"64,903857"
"7";"mushroom";"88,7374422";"88,780522";"88,940485";"89,026761";"89,180595"
"8";"pima";"62,257348";"69,409605";"69,665927";"69,080656";"69,205401"
"9";"vehicle";"37,9892027";"37,578058";"38,581006";"37,943765";"40,352111"
"10";"wilt";"94,5133885";"94,49275";"94,596034";"94,585725";"94,596034"
"11";"kr-vs-kp";"53,5671533";"54,441223";"55,631564";"57,540605";"58,323031"
"12";"blood-transfusion-service";"72,799099";"72,532432";"73,864864";"73,134234";"74,872072"
"13";"cnae-9";"21,0185186";"18,194445";"18,287037";"15";"15,694444"
"14";"connectionist-mines-vs-rocks";"50,7608226";"56,310606";"57,03896";"56,609306";"58,298702"
"15";"flare";"37,3309762";"37,913201";"39,140691";"40,177133";"40,216541"
"16";"indian-liver-patient";"40,9424312";"37,749855";"37,748394";"37,403565";"37,406488"
"17";"leukemia-haslinger";"79,3686869";"84,424242";"84,267677";"85,934344";"85,767677"
"18";"mammographic-mass";"77,1559446";"77,051789";"76,685594";"76,948158";"77,52111"
"19";"mfeat-karhunen";"71,925";"72,7";"73,325";"74";"74,85"
"20";"musk";"75,4468209";"71,668598";"71,932097";"70,022521";"75,378732"
"21";"ozone-onehr";"63,5251782";"61,808999";"62,045065";"61,334927";"61,571147"
"22";"pendigits";"57,7920869";"59,429404";"61,012413";"62,300089";"63,80572"
"23";"planning-relax";"68,4356725";"63,494151";"70,087717";"69,82456";"68,421051"
"24";"seeds";"84,5238096";"87,380954";"87,380954";"88,809526";"88,333335"
"25";"semeion";"29,5488354";"39,208723";"46,16215";"50,449972";"52,858779"
"26";"spectf-heart";"56,2934173";"51,110879";"50,702382";"49,84057";"50,698414"
"27";"tic-tac-toe";"65,3442982";"65,344298";"65,344298";"65,344298";"65,344298"
"28";"twonorm";"92,1421143";"92,202917";"92,142114";"92,16915";"92,142105"
"29";"hill-valley-with-noise";"50,6571095";"49,417745";"51,399211";"49,791345";"49,876682"
"30";"balance-scale";"26,846004";"46,079972";"46,079972";"47,92457";"46,482001"
"31";"car";"70,024468";"70,02447";"70,02447";"70,02447";"70,02447"
