"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,333333";"56,999999";"66,666667";"67,333333";"74"
"2";"bupa";"54,5966386";"56,554623";"57,39496";"56,554623";"53,739497"
"3";"segment";"72,0346322";"79,480519";"83,376623";"83,722945";"86,883117"
"4";"waveform-5000";"33,2598397";"33,440039";"33,37984";"33,539879";"33,460441"
"5";"phishingData";"66,6075924";"75,346491";"77,287423";"82,514554";"83,980183"
"6";"mushroom";"97,3227004";"98,092042";"98,135199";"98,406006";"98,510526"
"7";"pima";"62,1206426";"62,662335";"64,716333";"63,36295";"65,170878"
"8";"vehicle";"42,7402827";"48,798115";"55,241253";"58,189083";"60,902582"
"9";"wilt";"94,6063637";"94,606365";"94,606365";"94,606365";"94,606365"
"10";"kr-vs-kp";"61,5604917";"63,437452";"65,692055";"67,910952";"71,05579"
"11";"blood-transfusion-service";"74,7189189";"75,057659";"76,205406";"76,205406";"76,072073"
"12";"cnae-9";"57,4537037";"61,388888";"65,694444";"65,972223";"67,12963"
"13";"connectionist-mines-vs-rocks";"52,9069263";"51,885281";"54,145021";"52,204545";"54,914503"
"14";"flare";"28,5096118";"28,545073";"28,692903";"28,58104";"28,617526"
"15";"indian-liver-patient";"71,3559322";"71,355933";"71,355933";"71,355933";"71,355933"
"16";"leukemia-haslinger";"48,9898989";"50,101011";"51,212122";"59,232323";"56,474747"
"17";"mammographic-mass";"63,0423731";"67,803367";"74,432142";"63,459595";"71,012221"
"18";"mfeat-karhunen";"16,1";"23,525";"33,65";"42,625";"48,45"
"19";"musk";"78,491839";"89,633518";"91,626991";"95,11215";"95,278944"
"20";"ozone-onehr";"97,1216272";"97,121624";"97,121624";"97,121624";"97,121624"
"21";"pendigits";"68,726126";"76,099634";"80,191202";"83,178921";"84,802606"
"22";"planning-relax";"71,4619882";"71,184208";"71,461986";"71,461986";"71,461986"
"23";"seeds";"70,9523811";"80,476191";"83,571428";"85,47619";"85,714286"
"24";"semeion";"15,1708393";"23,974814";"34,092429";"41,962785";"49,530114"
"25";"spectf-heart";"72,792717";"72,792715";"72,792715";"72,792715";"72,792715"
"26";"tic-tac-toe";"65,344954";"65,344954";"60,270331";"65,659647";"65,344954"
"27";"twonorm";"49,9865231";"52,844576";"60,310893";"58,770289";"65,695534"
"28";"hill-valley-with-noise";"50,204551";"50,699127";"53,132112";"51,370906";"49,728543"
"29";"balance-scale";"47,3343657";"46,169869";"50,381254";"50,789685";"48,939966"
"30";"car";"70,0239923";"70,023995";"70,023995";"70,023995";"70,023995"
