"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"93,33333";"93,33333";"93,33333";"90";"93,33333"
"2";"bupa";"61,76471";"63,23529";"66,17647";"64,70588";"70,58824"
"3";"segment";"84,63203";"87,01299";"85,93074";"89,61039";"89,17749"
"4";"waveform-5000";"60,52104";"60,27944";"61,4";"61,07784";"60,12024"
"5";"phishingData";"81,90045";"84,0868";"84,13201";"85,217";"85,71429"
"6";"mushroom";"91,38991";"92,11823";"92,05665";"91,9335";"92,17016"
"7";"pima";"68,83117";"72,07792";"70,12987";"75,32468";"72,72727"
"8";"vehicle";"59,41176";"70,34884";"62,7907";"65,88235";"68,07229"
"9";"wilt";"94,7314";"94,7314";"94,7205";"94,6281";"94,83471"
"10";"kr-vs-kp";"75";"76,40625";"77,34375";"76,09375";"77,5"
"11";"blood-transfusion-service";"77,7027";"79,05405";"77,02703";"77,02703";"79,33333"
"12";"cnae-9";"54,62963";"65,27778";"70,37037";"75,92593";"75"
"13";"connectionist-mines-vs-rocks";"76,19048";"72,5";"85,71429";"80";"85,71429"
"14";"flare";"53,59712";"53,95683";"54,25532";"53,23741";"54,04412"
"15";"indian-liver-patient";"71,92982";"72,41379";"74,13793";"73,27586";"74,5614"
"16";"leukemia-haslinger";"95";"94,44444";"100";"95,45455";"90,90909"
"17";"mammographic-mass";"80,72917";"84,89583";"82,8125";"84,375";"88,02083"
"18";"mfeat-karhunen";"69,75";"77,5";"78,5";"79";"81,5"
"19";"musk";"94,31818";"95,83333";"96,36364";"97,19697";"97,04097"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"87,98908";"90,49136";"91,58326";"91,35578";"92,35669"
"22";"planning-relax";"75";"72,22222";"75";"72,22222";"72,22222"
"23";"seeds";"88,09524";"92,85714";"95,2381";"97,61905";"92,85714"
"24";"semeion";"56,91824";"65,40881";"69,6875";"72,98137";"71,73913"
"25";"spectf-heart";"74,28571";"75,71429";"77,14286";"81,42857";"85,71429"
"26";"tic-tac-toe";"66,84211";"68,94737";"69,27083";"73,4375";"73,95833"
"27";"twonorm";"92,36486";"92,83784";"92,63514";"92,77027";"93,03112"
"28";"hill-valley-with-noise";"57,43802";"54,5082";"57,85124";"55,3719";"58,67769"
"29";"balance-scale";"70,96774";"70,96774";"72,58065";"74,19355";"72,22222"
"30";"car";"70,34884";"75,72254";"76,16279";"75,73099";"74,56647"
