"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"76,66667";"80";"90";"83,33333";"83,33333"
"2";"bupa";"70,58824";"61,76471";"67,64706";"61,76471";"63,23529"
"3";"segment";"81,38528";"83,54978";"84,41558";"87,87879";"87,87879"
"4";"waveform-5000";"54,40882";"56,41283";"55,48902";"56,7";"56,91383"
"5";"phishingData";"83,00181";"83,61991";"83,93665";"85,48825";"85,39783"
"6";"mushroom";"91,08241";"90,51724";"96,00246";"91,74877";"90,65191"
"7";"pima";"76,31579";"73,37662";"75,32468";"76,97368";"75,65789"
"8";"vehicle";"54,70588";"57,64706";"60,58824";"67,05882";"66,47059"
"9";"wilt";"96,28866";"96,4876";"96,59794";"96,27329";"96,59091"
"10";"kr-vs-kp";"75,86207";"77,89969";"77,96875";"78,68339";"79,0625"
"11";"blood-transfusion-service";"78,66667";"77,02703";"77,02703";"77,33333";"78,66667"
"12";"cnae-9";"71,2963";"64,81481";"69,44444";"70,83333";"69,44444"
"13";"connectionist-mines-vs-rocks";"69,04762";"80,95238";"70";"78,57143";"75"
"14";"flare";"52,17391";"52,5";"56,15942";"52,53623";"53,23741"
"15";"indian-liver-patient";"72,41379";"72,41379";"71,55172";"72,88136";"73,68421"
"16";"leukemia-haslinger";"50";"90";"75";"75";"90"
"17";"mammographic-mass";"82,63158";"84,21053";"82,63158";"85,78947";"84,53608"
"18";"mfeat-karhunen";"33";"40,75";"49,75";"50,5";"53,75"
"19";"musk";"89,92424";"91,81818";"94,4697";"93,71212";"96,21212"
"20";"ozone-onehr";"97,2332";"97,24409";"97,2332";"97,24409";"97,62846"
"21";"pendigits";"75,43143";"80,45455";"80,31818";"83,45422";"85,0408"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"77,77778"
"23";"seeds";"80,95238";"95,2381";"92,85714";"88,09524";"92,85714"
"24";"semeion";"31,5625";"36,25";"43,125";"46,875";"49,375"
"25";"spectf-heart";"77,14286";"80,88235";"80,88235";"80,88235";"81,42857"
"26";"tic-tac-toe";"67,1875";"68,94737";"73,95833";"70,52632";"72,39583"
"27";"twonorm";"81,24157";"80,81081";"82,5";"83,44595";"84,93243"
"28";"hill-valley-with-noise";"62,70492";"52,47934";"57,02479";"57,78689";"57,5"
"29";"balance-scale";"69,04762";"71,42857";"71,42857";"73,80952";"68,25397"
"30";"car";"73,85057";"73,25581";"75";"73,83721";"75"
