"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"93,333333";"83,33333";"96,66667";"90";"93,33333"
"2";"bupa";"60,294118";"61,76471";"64,70588";"61,76471";"69,11765"
"3";"segment";"64,285714";"64,50216";"63,20346";"67,53247";"65,58442"
"4";"waveform-5000";"58,483034";"59,01804";"59,21844";"59,51904";"57,81563"
"5";"phishingData";"81,34058";"82,11051";"82,83514";"82,9566";"83,18264"
"6";"mushroom";"91,738594";"91,32841";"91,63592";"92,30296";"92,30296"
"7";"pima";"68,831169";"79,87013";"78,28947";"78,28947";"78,28947"
"8";"vehicle";"43,529412";"48,79518";"45,12195";"48,17073";"45,88235"
"9";"wilt";"94,628099";"94,6281";"94,6281";"94,6281";"94,93802"
"10";"kr-vs-kp";"69,53125";"70,9375";"72,10031";"70,46875";"73,19749"
"11";"blood-transfusion-service";"77,702703";"77,33333";"77,33333";"76,66667";"78,66667"
"12";"cnae-9";"22,685185";"23,14815";"27,77778";"17,59259";"29,16667"
"13";"connectionist-mines-vs-rocks";"68,181818";"77,27273";"70";"71,42857";"67,5"
"14";"flare";"43,928571";"42,80576";"43,52518";"42,08633";"53,23741"
"15";"indian-liver-patient";"59,482759";"58,77193";"56,77966";"55,9322";"52,54237"
"16";"leukemia-haslinger";"90";"95";"95";"100";"100"
"17";"mammographic-mass";"79,473684";"83,68421";"83,15789";"82,10526";"81,25"
"18";"mfeat-karhunen";"74,75";"77,25";"77";"78,5";"78,25"
"19";"musk";"74,848485";"72,12121";"74,92424";"77,01062";"76,21212"
"20";"ozone-onehr";"78,853755";"71,93676";"72,13439";"68,97233";"68,7747"
"21";"pendigits";"64,032698";"68";"69,1644";"71,01911";"71,57847"
"22";"planning-relax";"72,222222";"75";"72,22222";"75";"75"
"23";"seeds";"95,238095";"97,61905";"97,61905";"95,2381";"95,2381"
"24";"semeion";"44,753086";"46,85535";"51,57233";"57,86164";"60,69182"
"25";"spectf-heart";"78,571429";"68,57143";"65,71429";"70";"67,14286"
"26";"tic-tac-toe";"67,1875";"67,70833";"71,875";"72,16495";"69,58763"
"27";"twonorm";"93,851351";"93,64865";"93,64865";"93,64865";"93,71622"
"28";"hill-valley-with-noise";"56,25";"56,61157";"54,54545";"56,61157";"56,19835"
"29";"balance-scale";"62,698413";"70,63492";"71,42857";"72,22222";"73,01587"
"30";"car";"70,760234";"75,72254";"76,01156";"75,43353";"76,01156"
