"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"93,33333";"90";"93,33333";"90"
"2";"bupa";"57,14286";"58,82353";"64,70588";"58,82353";"66,17647"
"3";"segment";"83,33333";"85,93074";"87,44589";"89,39394";"91,55844"
"4";"waveform-5000";"50,6";"55,1";"54,99002";"56,21242";"54,9"
"5";"phishingData";"81,8552";"82,68535";"82,77577";"84,0868";"85,35262"
"6";"mushroom";"98,39901";"99,32266";"98,83005";"99,19951";"98,83149"
"7";"pima";"69,48052";"70,77922";"77,92208";"76,62338";"73,37662"
"8";"vehicle";"50,58824";"59,41176";"69,64286";"69,64286";"63,69048"
"9";"wilt";"96,3843";"96,4876";"96,59091";"96,28099";"96,3843"
"10";"kr-vs-kp";"75,07837";"75,15625";"76,25";"77,74295";"78,125"
"11";"blood-transfusion-service";"77,02703";"78,66667";"77,33333";"77,02703";"77,02703"
"12";"cnae-9";"64,35185";"69,44444";"72,22222";"71,75926";"74,07407"
"13";"connectionist-mines-vs-rocks";"66,66667";"72,5";"65";"73,80952";"67,5"
"14";"flare";"51,78571";"52,51799";"52,8777";"53,95683";"55,35714"
"15";"indian-liver-patient";"72,41379";"72,41379";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"50";"85";"60";"72,22222";"75"
"17";"mammographic-mass";"82,47423";"82,47423";"83,33333";"82,47423";"83,15789"
"18";"mfeat-karhunen";"33";"42,5";"46";"51,25";"52,75"
"19";"musk";"93,62671";"96,13636";"96,59091";"96,9651";"97,19697"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"67,84741";"78,36364";"81,9873";"84,36645";"84,86364"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"75"
"23";"seeds";"80,95238";"92,85714";"97,61905";"90,47619";"90,47619"
"24";"semeion";"31,76101";"39,87342";"44,96855";"51,25";"53,16456"
"25";"spectf-heart";"74,28571";"73,52941";"74,28571";"74,28571";"74,28571"
"26";"tic-tac-toe";"68,94737";"69,79167";"71,35417";"71,875";"70"
"27";"twonorm";"79,7023";"81,08108";"82,09459";"81,68919";"83,35589"
"28";"hill-valley-with-noise";"54,13223";"54,13223";"57,43802";"58,67769";"56,19835"
"29";"balance-scale";"67,46032";"71,42857";"69,04762";"72,22222";"75"
"30";"car";"75,5814";"76,01156";"77,61628";"76,45349";"76,45349"
