"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"80,333333";"83";"81,666667";"80,666668";"82"
"2";"bupa";"55,373951";"53,478991";"54,411764";"55,680672";"57,407565"
"3";"segment";"77,402596";"83,679654";"84,545454";"86,320346";"86,645023"
"4";"waveform-5000";"57,541058";"58,149479";"58,769499";"59,109082";"58,799601"
"5";"phishingData";"80,094984";"82,519159";"83,432829";"84,246929";"84,604196"
"6";"mushroom";"86,613453";"90,429103";"91,00843";"90,921861";"91,2237"
"7";"pima";"66,014183";"67,445319";"66,672931";"68,55263";"69,466849"
"8";"vehicle";"52,243111";"58,318049";"58,73729";"59,174317";"62,595418"
"9";"wilt";"94,616657";"94,627009";"94,616679";"94,606327";"94,647648"
"10";"kr-vs-kp";"67,742751";"71,103742";"73,543446";"74,061079";"75,484131"
"11";"blood-transfusion-service";"75,405404";"75,808108";"75,27027";"75,201802";"76,603603"
"12";"cnae-9";"44,814815";"53,842593";"64,027775";"67,037037";"67,500001"
"13";"connectionist-mines-vs-rocks";"56,717532";"60,011906";"67,3842";"68,827922";"70,726192"
"14";"flare";"47,481855";"49,601437";"50,310303";"50,976242";"52,303232"
"15";"indian-liver-patient";"66,327658";"70,674633";"70,246522";"70,937688";"70,176592"
"16";"leukemia-haslinger";"76,959596";"76,535353";"86,414142";"83,323233";"81,813131"
"17";"mammographic-mass";"73,521116";"76,91817";"75,307254";"76,71845";"77,968541"
"18";"mfeat-karhunen";"65,65";"70,275";"75,25";"75,75";"78,475"
"19";"musk";"92,080529";"94,536281";"95,279016";"96,097508";"96,347451"
"20";"ozone-onehr";"97,121771";"97,121771";"97,082245";"97,102008";"97,102163"
"21";"pendigits";"86,617508";"88,646675";"89,401477";"89,906366";"90,374936"
"22";"planning-relax";"67,339181";"70,350874";"70,906431";"69,502922";"69,546783"
"23";"seeds";"83,571429";"85,476191";"85,238096";"89,523811";"86,190477"
"24";"semeion";"53,318665";"58,145159";"63,874192";"65,623216";"67,039386"
"25";"spectf-heart";"67,410363";"68,504669";"68,687909";"71,848506";"72,901962"
"26";"tic-tac-toe";"64,356993";"65,661212";"66,280875";"68,937241";"69,316022"
"27";"twonorm";"91,311202";"91,783929";"91,831274";"91,851734";"92,013797"
"28";"hill-valley-with-noise";"50,081572";"50,366803";"52,233792";"49,001755";"49,884857"
"29";"balance-scale";"60,807732";"65,275219";"66,565541";"69,038658";"68,631594"
"30";"car";"69,676924";"71,383317";"73,155632";"71,649862";"72,108568"
