"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"48,333333";"66,000001";"73,666667";"73,666667";"77"
"2";"bupa";"60,474791";"57,386554";"55,34874";"55,260506";"57,407564"
"3";"segment";"73,852814";"76,969696";"80,8658";"82,337662";"84,653681"
"4";"waveform-5000";"51,091584";"54,210552";"54,610471";"55,180391";"55,140054"
"5";"phishingData";"79,936535";"82,505603";"83,061975";"83,681525";"84,020894"
"6";"mushroom";"80,666941";"84,71293";"85,548085";"84,643775";"84,797622"
"7";"pima";"66,756664";"67,910114";"69,795797";"70,004272";"69,342959"
"8";"vehicle";"45,438823";"50,112831";"56,51009";"58,682275";"59,64538"
"9";"wilt";"95,649753";"95,536137";"95,897838";"95,742963";"95,939352"
"10";"kr-vs-kp";"70,069798";"75,438186";"73,745249";"75,703419";"76,68995"
"11";"blood-transfusion-service";"73,272073";"74,13874";"72,938739";"75,535135";"76,06937"
"12";"cnae-9";"60,324076";"61,435186";"63,194442";"63,611109";"64,953702"
"13";"connectionist-mines-vs-rocks";"57,726189";"59,999999";"59,154761";"57,916666";"64,214285"
"14";"flare";"45,865325";"47,841679";"49,461237";"48,742018";"49,136138"
"15";"indian-liver-patient";"66,379131";"68,954853";"66,910779";"68,513746";"69,317573"
"16";"leukemia-haslinger";"48,989899";"65,121212";"62,964647";"59,464647";"68,409091"
"17";"mammographic-mass";"76,286637";"77,344756";"77,578542";"79,861157";"78,920347"
"18";"mfeat-karhunen";"29,575";"37,2";"43,425";"47,15";"48,45"
"19";"musk";"87,215857";"88,671149";"92,709431";"92,982848";"94,141802"
"20";"ozone-onehr";"96,925762";"97,062629";"96,944131";"97,043021";"97,161444"
"21";"pendigits";"69,689999";"76,518407";"78,697336";"81,484889";"83,505641"
"22";"planning-relax";"63,128654";"68,961986";"68,216373";"67,134502";"68,435671"
"23";"seeds";"68,333334";"80,238096";"83,57143";"81,190476";"84,047619"
"24";"semeion";"27,081782";"32,826079";"36,869413";"43,303019";"45,415822"
"25";"spectf-heart";"66,69211";"66,893791";"69,955648";"71,789216";"72,608544"
"26";"tic-tac-toe";"59,684736";"64,928564";"68,359598";"66,645728";"68,469213"
"27";"twonorm";"67,505169";"74,911643";"80,0744";"81,614905";"83,127998"
"28";"hill-valley-with-noise";"51,440245";"48,558732";"51,335342";"52,764259";"50,213849"
"29";"balance-scale";"64,794055";"65,039956";"65,42761";"67,684898";"66,080833"
"30";"car";"68,896874";"70,201942";"72,078298";"72,103997";"72,399095"
