"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"74,6666667";"79,666666";"86,333333";"83,666666";"86,333333"
"2";"bupa";"54,6386555";"53,176471";"50,617646";"52,584036";"57,84874"
"3";"segment";"59,6969696";"60,800865";"61,16883";"63,203461";"62,510822"
"4";"waveform-5000";"55,9800577";"56,76118";"56,441521";"57,101123";"56,789984"
"5";"phishingData";"62,476596";"72,440664";"77,997018";"81,315495";"81,931155"
"6";"mushroom";"90,1097444";"90,269593";"90,016954";"90,74932";"91,131252"
"7";"pima";"61,8771362";"67,97676";"69,079801";"71,357654";"70,450275"
"8";"vehicle";"36,5121189";"39,970881";"39,039483";"39,69864";"40,493824"
"9";"wilt";"94,4307439";"94,575351";"94,585703";"94,585704";"94,689052"
"10";"kr-vs-kp";"61,8546729";"64,25191";"67,100313";"67,522189";"70,198227"
"11";"blood-transfusion-service";"72,1297298";"73,245945";"71,853154";"72,794594";"75,128828"
"12";"cnae-9";"18,7962965";"18,518518";"19,953705";"14,629629";"17,777779"
"13";"connectionist-mines-vs-rocks";"51,9015151";"61,191558";"59,190475";"60,880952";"57,501083"
"14";"flare";"36,7515698";"37,763478";"38,150716";"37,365393";"43,448845"
"15";"indian-liver-patient";"46,4902541";"43,698335";"42,598537";"42,440734";"43,991304"
"16";"leukemia-haslinger";"71,2373738";"81,414142";"84,515151";"87,525253";"86,969697"
"17";"mammographic-mass";"74,4035822";"76,806452";"79,085243";"77,423935";"77,101018"
"18";"mfeat-karhunen";"71,725";"73,775";"74,725";"75,05";"75,5"
"19";"musk";"68,7347336";"64,337275";"66,268612";"68,393261";"67,350934"
"20";"ozone-onehr";"66,2771155";"60,399225";"60,910803";"61,399894";"58,936306"
"21";"pendigits";"62,2448277";"66,280285";"67,921913";"69,051151";"69,919462"
"22";"planning-relax";"69,5175438";"65,672514";"65,921052";"65,131578";"64,619882"
"23";"seeds";"83,3333333";"88,09524";"88,571427";"88,809524";"88,333333"
"24";"semeion";"32,1933793";"39,468828";"43,854801";"51,193882";"55,782561"
"25";"spectf-heart";"64,7696078";"54,057424";"55,090803";"53,791784";"54,804856"
"26";"tic-tac-toe";"64,3430264";"66,23275";"65,132945";"66,743908";"67,165451"
"27";"twonorm";"92,0740992";"92,155254";"92,10793";"92,141713";"92,168722"
"28";"hill-valley-with-noise";"50,3859064";"48,391054";"49,702846";"49,214425";"52,151234"
"29";"balance-scale";"39,8233486";"66,557861";"69,283154";"67,837942";"69,279315"
"30";"car";"70,024468";"72,311584";"72,371753";"73,034821";"74,07328"
