"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"76,666667";"72,000001";"76";"78,999999"
"2";"bupa";"50,130252";"55,210084";"57,857143";"54,340337";"56,710083"
"3";"segment";"74,870129";"80,584415";"83,203463";"84,415584";"86,298702"
"4";"waveform-5000";"45,178124";"51,259922";"52,488708";"53,82051";"53,299951"
"5";"phishingData";"76,572546";"80,493467";"81,465004";"83,107277";"83,984608"
"6";"mushroom";"97,014952";"97,98115";"98,134999";"98,301015";"98,331841"
"7";"pima";"60,288788";"66,40892";"66,80793";"69,592447";"66,600307"
"8";"vehicle";"40,108485";"50,533636";"57,8816";"60,730177";"58,822655"
"9";"wilt";"95,401952";"95,35032";"95,753233";"95,908191";"95,980549"
"10";"kr-vs-kp";"65,056618";"70,790739";"73,029138";"74,375244";"75,420842"
"11";"blood-transfusion-service";"75,938739";"76,472073";"76,005405";"76,005406";"75,804505"
"12";"cnae-9";"58,981481";"64,12037";"68,796297";"68,657409";"70,648148"
"13";"connectionist-mines-vs-rocks";"52,095238";"54,404763";"53,404762";"55,25";"59,90476"
"14";"flare";"48,455732";"49,459348";"50,356323";"51,362029";"51,90158"
"15";"indian-liver-patient";"71,355933";"70,061368";"68,896844";"69,734074";"70,752484"
"16";"leukemia-haslinger";"48,989899";"69,151515";"54,010101";"54,176767";"59,954545"
"17";"mammographic-mass";"71,734163";"78,977251";"77,575878";"78,563349";"78,675613"
"18";"mfeat-karhunen";"20,125";"33,525";"41,775";"47,825";"49,8"
"19";"musk";"91,535554";"93,861887";"95,475893";"96,135466";"96,559581"
"20";"ozone-onehr";"97,121771";"97,121771";"97,121771";"97,121771";"97,102008"
"21";"pendigits";"65,013708";"75,387193";"80,022061";"81,701074";"83,619641"
"22";"planning-relax";"71,461986";"63,991227";"69,619881";"68,128653";"71,739764"
"23";"seeds";"43,095235";"78,571428";"83,571429";"82,142857";"85"
"24";"semeion";"21,799776";"32,923717";"41,111409";"44,187713";"48,839641"
"25";"spectf-heart";"69,217552";"69,028477";"70,347804";"72,036879";"71,024509"
"26";"tic-tac-toe";"65,034866";"65,75966";"66,547489";"67,948348";"68,010789"
"27";"twonorm";"71,07584";"76,749891";"78,221924";"79,154924";"80,527352"
"28";"hill-valley-with-noise";"50,12632";"50,075159";"51,82096";"50,116407";"51,03205"
"29";"balance-scale";"60,937149";"60,830262";"62,413723";"66,215054";"67,542627"
"30";"car";"70,578671";"74,073955";"74,364819";"73,990779";"74,915466"
