"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"70";"66,66667";"70";"70";"70"
"2";"bupa";"45,71429";"45,58824";"42,85714";"47,14286";"45,58824"
"3";"segment";"74,24242";"79,65368";"82,68398";"82,90043";"84,19913"
"4";"waveform-5000";"54,59082";"54,00802";"57,31463";"56,91383";"57,21443"
"5";"phishingData";"78,66184";"80,1085";"82,35294";"83,13743";"83,18264"
"6";"mushroom";"78,07882";"87,42293";"89,36039";"89,40887";"89,65517"
"7";"pima";"64,28571";"65,58442";"62,33766";"62,33766";"66,23377"
"8";"vehicle";"41,76471";"51,17647";"56,47059";"51,78571";"56,47059"
"9";"wilt";"94,42149";"94,42149";"94,42149";"94,42149";"94,42149"
"10";"kr-vs-kp";"60";"64,375";"69,43574";"71,5625";"70,68966"
"11";"blood-transfusion-service";"71,33333";"72";"73,33333";"70,66667";"74"
"12";"cnae-9";"37,96296";"34,72222";"56,94444";"61,11111";"61,57407"
"13";"connectionist-mines-vs-rocks";"45,2381";"47,61905";"47,61905";"50";"45,2381"
"14";"flare";"41,30435";"42,75362";"46,73913";"48,93617";"49,27536"
"15";"indian-liver-patient";"55,08475";"67,79661";"64,65517";"67,79661";"66,10169"
"16";"leukemia-haslinger";"50";"50";"65";"70";"70"
"17";"mammographic-mass";"64,21053";"69,58763";"68,04124";"66,49485";"68,5567"
"18";"mfeat-karhunen";"62,25";"63,5";"71,25";"73,25";"76,75"
"19";"musk";"90";"93,48485";"94,24242";"94,62121";"94,39394"
"20";"ozone-onehr";"96,85039";"96,85039";"96,83794";"96,85039";"96,66667"
"21";"pendigits";"84,8816";"86,72727";"87,63636";"88,22727";"89,45455"
"22";"planning-relax";"55,55556";"65,78947";"66,66667";"58,33333";"60,52632"
"23";"seeds";"78,57143";"66,66667";"78,57143";"80,95238";"78,57143"
"24";"semeion";"46,20253";"48,13665";"54,0625";"60,75949";"63,4375"
"25";"spectf-heart";"55,55556";"55,55556";"55,55556";"60,29412";"64,70588"
"26";"tic-tac-toe";"60,41667";"61,85567";"63,15789";"64,73684";"65,46392"
"27";"twonorm";"88,04054";"90,68826";"91,16059";"90,89069";"91,22807"
"28";"hill-valley-with-noise";"45,83333";"46,28099";"46,72131";"44,58333";"43,38843"
"29";"balance-scale";"44,35484";"43,54839";"62,69841";"63,70968";"62,90323"
"30";"car";"68,67816";"69,54023";"69,9422";"69,54023";"69,9422"
