"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"46,66667";"60";"66,66667";"70"
"2";"bupa";"51,42857";"52,94118";"48,52941";"47,14286";"48,57143"
"3";"segment";"67,96537";"71,21212";"75,54113";"76,19048";"79,43723"
"4";"waveform-5000";"48,50299";"52,5";"52,49501";"53,49301";"53"
"5";"phishingData";"74,20814";"80,0905";"82,3689";"82,3689";"83,07692"
"6";"mushroom";"74,78422";"76,2931";"77,03202";"76,01476";"78,3867"
"7";"pima";"59,09091";"61,68831";"62,33766";"62,98701";"64,28571"
"8";"vehicle";"40,58824";"42,85714";"45,88235";"54,70588";"51,76471"
"9";"wilt";"94,6281";"94,61698";"95,04132";"94,7314";"95,35124"
"10";"kr-vs-kp";"54,70219";"72,96875";"66,77116";"73,04075";"73,28125"
"11";"blood-transfusion-service";"56";"64,66667";"64";"74";"72"
"12";"cnae-9";"50,92593";"58,7963";"56,94444";"58,33333";"61,11111"
"13";"connectionist-mines-vs-rocks";"47,61905";"47,5";"42,85714";"45,2381";"50"
"14";"flare";"38,1295";"42,85714";"42,80576";"46,01449";"43,57143"
"15";"indian-liver-patient";"44,82759";"62,71186";"61,86441";"63,7931";"65,25424"
"16";"leukemia-haslinger";"44,44444";"50";"55";"45";"50"
"17";"mammographic-mass";"62,8866";"62,63158";"72,16495";"74,73684";"72,10526"
"18";"mfeat-karhunen";"25,25";"32,5";"38,75";"45,75";"43,5"
"19";"musk";"84,62121";"73,86364";"89,75721";"90,98485";"90,44006"
"20";"ozone-onehr";"95,09804";"96,83794";"96,64032";"96,66667";"96,85039"
"21";"pendigits";"64,28571";"72,51595";"75,66089";"77,84868";"81,80164"
"22";"planning-relax";"47,22222";"58,33333";"52,63158";"50";"55,55556"
"23";"seeds";"52,38095";"64,28571";"76,19048";"71,42857";"73,80952"
"24";"semeion";"22,98137";"28,48101";"31,52866";"40,12739";"41,5625"
"25";"spectf-heart";"51,42857";"52,85714";"61,42857";"62,85714";"63,23529"
"26";"tic-tac-toe";"36,97917";"59,375";"63,68421";"60,41667";"64,58333"
"27";"twonorm";"54,05405";"66,68919";"79,12162";"79,52703";"80,71719"
"28";"hill-valley-with-noise";"47,93388";"40,16393";"42,21311";"47,54098";"45,86777"
"29";"balance-scale";"61,11111";"60,31746";"59,52381";"61,11111";"63,70968"
"30";"car";"63,2948";"66,66667";"68,10345";"69,29825";"66,37931"
