"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"60";"70";"73,33333";"73,33333";"76,66667"
"2";"bupa";"48,529412";"42,64706";"39,70588";"45,58824";"45,71429"
"3";"segment";"55,627706";"56,92641";"56,70996";"59,52381";"59,09091"
"4";"waveform-5000";"54,208417";"55,68862";"53";"54,4";"55,2"
"5";"phishingData";"50,090416";"52,71248";"73,41772";"76,49457";"79,92767"
"6";"mushroom";"88,868389";"88,92989";"88,49938";"89,45746";"89,90148"
"7";"pima";"42,105263";"58,44156";"61,03896";"62,98701";"65,58442"
"8";"vehicle";"31,176471";"33,13953";"32,35294";"33,52941";"32,35294"
"9";"wilt";"93,904959";"94,43299";"94,43299";"94,42149";"94,43299"
"10";"kr-vs-kp";"50,31348";"60,9375";"61,71875";"62,8125";"66,5625"
"11";"blood-transfusion-service";"66,666667";"63,51351";"65,33333";"65,33333";"72"
"12";"cnae-9";"15,740741";"11,57407";"13,42593";"11,11111";"12,96296"
"13";"connectionist-mines-vs-rocks";"30,952381";"37,5";"47,5";"50";"50"
"14";"flare";"29,136691";"31,29496";"32,48175";"29,4964";"35,97122"
"15";"indian-liver-patient";"35,344828";"35,34483";"34,48276";"36,2069";"37,93103"
"16";"leukemia-haslinger";"50";"65";"65";"65";"65"
"17";"mammographic-mass";"67,708333";"67,52577";"74,2268";"72,16495";"69,47368"
"18";"mfeat-karhunen";"66";"71,25";"72,25";"72,5";"72,5"
"19";"musk";"51,212121";"55,5303";"56,98027";"56,28788";"57,66313"
"20";"ozone-onehr";"42,716535";"51,37795";"50,98425";"56,69291";"49,01575"
"21";"pendigits";"59,818182";"63,3758";"65,74158";"66,13636";"67"
"22";"planning-relax";"61,111111";"50";"55,55556";"38,88889";"50"
"23";"seeds";"69,047619";"76,19048";"73,80952";"71,42857";"78,57143"
"24";"semeion";"20,253165";"30,37975";"37,8125";"46,83544";"53,10559"
"25";"spectf-heart";"51,470588";"42,64706";"41,17647";"44,11765";"45,58824"
"26";"tic-tac-toe";"58,947368";"63,40206";"59,89583";"62,63158";"63,54167"
"27";"twonorm";"90,945946";"91,01351";"90,94595";"91,01351";"91,01351"
"28";"hill-valley-with-noise";"43,801653";"43,75";"43,80165";"43,75";"47,10744"
"29";"balance-scale";"7,936508";"61,11111";"64,28571";"63,49206";"65,87302"
"30";"car";"69,54023";"68,67816";"69,54023";"69,9422";"72,38372"
