"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"60";"63,33333";"63,33333";"60"
"2";"bupa";"41,17647";"48,52941";"52,85714";"42,64706";"50"
"3";"segment";"60,82251";"73,37662";"75,32468";"77,27273";"83,76623"
"4";"waveform-5000";"33,86774";"48,5";"51,002";"51,9";"51,30261"
"5";"phishingData";"71,79024";"77,44123";"79,41176";"81,78119";"82,32369"
"6";"mushroom";"95,49938";"96,91739";"97,53391";"97,22565";"97,47226"
"7";"pima";"50";"56,49351";"46,1039";"61,18421";"62,33766"
"8";"vehicle";"32,7381";"38,69048";"51,19048";"51,16279";"51,17647"
"9";"wilt";"94,6281";"94,42149";"94,7314";"95,45455";"95,55785"
"10";"kr-vs-kp";"58,59375";"67,03125";"70,78125";"72,8125";"72,64151"
"11";"blood-transfusion-service";"73,33333";"76";"73,33333";"74";"72,66667"
"12";"cnae-9";"53,24074";"59,72222";"65,74074";"66,2037";"64,81481"
"13";"connectionist-mines-vs-rocks";"35";"45,2381";"45,2381";"45,2381";"52,38095"
"14";"flare";"39,28571";"44,2446";"46,37681";"47,82609";"49,27007"
"15";"indian-liver-patient";"70,68966";"65,51724";"50";"64,40678";"64,65517"
"16";"leukemia-haslinger";"44,44444";"50";"45";"45";"50"
"17";"mammographic-mass";"61,97917";"74,74227";"68,75";"73,4375";"72,68041"
"18";"mfeat-karhunen";"10";"26,25";"35,75";"42,25";"47"
"19";"musk";"87,27273";"92,04545";"92,95455";"95,5303";"95,15152"
"20";"ozone-onehr";"96,85039";"96,85039";"96,85039";"96,85039";"96,85039"
"21";"pendigits";"60,20871";"72,59091";"76,54545";"80,40909";"82,40656"
"22";"planning-relax";"68,42105";"41,66667";"50";"58,33333";"68,42105"
"23";"seeds";"33,33333";"64,28571";"71,42857";"66,66667";"78,57143"
"24";"semeion";"13,29114";"26,26582";"36,70886";"38,75";"40,25157"
"25";"spectf-heart";"50";"57,35294";"54,28571";"60,29412";"61,76471"
"26";"tic-tac-toe";"58,33333";"57,36842";"62,5";"62,63158";"64,58333"
"27";"twonorm";"50";"70";"74,52703";"75,64276";"78,58108"
"28";"hill-valley-with-noise";"42,21311";"38,84298";"46,28099";"42,08333";"44,21488"
"29";"balance-scale";"47,58065";"46,03175";"46,66667";"60";"59,52381"
"30";"car";"45,95376";"72,54335";"72,54335";"64,45087";"72,98851"
