"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"90";"83,33333";"90";"90";"86,66667"
"2";"bupa";"57,35294";"60,29412";"60";"60,29412";"68,57143"
"3";"segment";"81,81818";"88,09524";"89,39394";"90,47619";"88,96104"
"4";"waveform-5000";"41,1";"52,1";"51,3";"59,3";"58,8"
"5";"phishingData";"84,0724";"82,71493";"83,66516";"84,29864";"85,74661"
"6";"mushroom";"90,2214";"89,6679";"90,89791";"90,71341";"92,12792"
"7";"pima";"68,18182";"65,78947";"65,78947";"73,37662";"66,88312"
"8";"vehicle";"57,05882";"67,05882";"63,09524";"63,69048";"66,86047"
"9";"wilt";"94,6281";"94,7314";"94,6281";"94,83471";"94,63918"
"10";"kr-vs-kp";"68,90625";"72,25705";"71,47335";"71,94357";"76,09375"
"11";"blood-transfusion-service";"80";"76,66667";"78";"77,33333";"78"
"12";"cnae-9";"52,77778";"67,59259";"70,83333";"71,75926";"72,68519"
"13";"connectionist-mines-vs-rocks";"61,90476";"76,19048";"71,42857";"77,5";"80,95238"
"14";"flare";"35,97122";"39,92806";"37,05036";"37,85714";"37,22628"
"15";"indian-liver-patient";"72,41379";"72,41379";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"95";"95";"95";"95";"100"
"17";"mammographic-mass";"81,77083";"83,85417";"83,85417";"83,50515";"83,33333"
"18";"mfeat-karhunen";"71";"73,75";"82";"81,25";"84,75"
"19";"musk";"92,87879";"95,75758";"95,99092";"97,12121";"96,81818"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"87,94359";"90,30937";"89,9909";"91,71975";"91,84139"
"22";"planning-relax";"75";"80,55556";"72,22222";"72,22222";"72,22222"
"23";"seeds";"90,47619";"97,61905";"97,61905";"97,61905";"95,2381"
"24";"semeion";"62,1875";"67,83439";"69,49686";"70,12579";"72,8125"
"25";"spectf-heart";"80";"74,28571";"82,85714";"77,14286";"80"
"26";"tic-tac-toe";"65,625";"65,625";"66,14583";"65,625";"65,78947"
"27";"twonorm";"93,97835";"93,97835";"94,04601";"93,91069";"93,84303"
"28";"hill-valley-with-noise";"54,54545";"59,58333";"61,66667";"54,95868";"54,5082"
"29";"balance-scale";"47,54098";"55,64516";"60,31746";"58,73016";"63,49206"
"30";"car";"70,34884";"70,34884";"70,34884";"70,34884";"70,34884"
