"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"63,33333";"80";"90";"83,33333";"86,66667"
"2";"bupa";"66,17647";"58,82353";"63,23529";"58,82353";"60,29412"
"3";"segment";"73,59307";"84,19913";"79,87013";"84,19913";"85,93074"
"4";"waveform-5000";"34,93014";"47,90419";"56,21242";"52,8";"56,8"
"5";"phishingData";"77,37557";"78,41629";"81,58371";"84,0724";"82,71493"
"6";"mushroom";"94,34194";"96,12546";"89,71675";"90,59041";"90,8867"
"7";"pima";"69,07895";"69,07895";"70,12987";"70,12987";"72,72727"
"8";"vehicle";"53,48837";"66,47059";"63,69048";"63,69048";"68,45238"
"9";"wilt";"96,06625";"94,7314";"94,7314";"96,17769";"94,82402"
"10";"kr-vs-kp";"60";"68,75";"70,37618";"70,46875";"75,70533"
"11";"blood-transfusion-service";"77,02703";"78";"78,66667";"78";"77,02703"
"12";"cnae-9";"61,57407";"69,44444";"73,61111";"72,22222";"69,44444"
"13";"connectionist-mines-vs-rocks";"63,63636";"76,19048";"61,36364";"70,45455";"69,04762"
"14";"flare";"48,93617";"50,36232";"50,35971";"50,72993";"49,28058"
"15";"indian-liver-patient";"72,41379";"73,72881";"72,41379";"72,88136";"72,41379"
"16";"leukemia-haslinger";"50";"70";"80";"75";"85"
"17";"mammographic-mass";"78,42105";"80,52632";"82,8125";"84,89583";"84,375"
"18";"mfeat-karhunen";"38,75";"48";"49,25";"52,25";"54,5"
"19";"musk";"90,83333";"92,5";"93,56061";"95,07576";"94,92424"
"20";"ozone-onehr";"97,2332";"97,24409";"97,2332";"97,24409";"97,24409"
"21";"pendigits";"70,31818";"79,34486";"83,45488";"84,07643";"85,5515"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"90,47619";"90,47619";"92,85714";"92,85714";"92,85714"
"24";"semeion";"33,43949";"41,25";"46,81529";"50";"52,83019"
"25";"spectf-heart";"75";"78,57143";"77,14286";"76,47059";"77,14286"
"26";"tic-tac-toe";"66,14583";"66,66667";"66,66667";"67,1875";"69,47368"
"27";"twonorm";"73,71622";"84,75034";"84,66216";"85,13514";"83,62652"
"28";"hill-valley-with-noise";"56,61157";"56,61157";"57,02479";"54,95868";"60,33058"
"29";"balance-scale";"64,51613";"58,06452";"51,5873";"53,22581";"54,7619"
"30";"car";"71,22093";"70,34884";"70,34884";"70,34884";"70,34884"
