"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"86,666667";"90";"93,33333";"90";"93,33333"
"2";"bupa";"60,294118";"60,29412";"57,35294";"58,82353";"60"
"3";"segment";"61,471861";"62,33766";"62,77056";"62,12121";"64,28571"
"4";"waveform-5000";"43,8";"49,1";"52,1";"52,4";"54,3"
"5";"phishingData";"71,176471";"74,43439";"76,31341";"77,8481";"81,10307"
"6";"mushroom";"91,071429";"91,07143";"90,76355";"91,07143";"91,25616"
"7";"pima";"72,727273";"73,37662";"75,32468";"74,02597";"73,68421"
"8";"vehicle";"52,380952";"48,23529";"44,04762";"51,78571";"48,80952"
"9";"wilt";"94,628099";"94,6281";"94,6281";"94,6281";"94,6281"
"10";"kr-vs-kp";"61,442006";"61,875";"61,25";"62,96875";"65,3605"
"11";"blood-transfusion-service";"77,333333";"80,40541";"79,05405";"78";"80,40541"
"12";"cnae-9";"25,462963";"25,92593";"22,68519";"29,62963";"22,68519"
"13";"connectionist-mines-vs-rocks";"66,666667";"70";"76,19048";"78,57143";"78,57143"
"14";"flare";"41,007194";"40";"40,87591";"41,07143";"45,35714"
"15";"indian-liver-patient";"67,79661";"43,22034";"44,0678";"43,22034";"44,91525"
"16";"leukemia-haslinger";"85";"100";"100";"100";"100"
"17";"mammographic-mass";"85,56701";"86,08247";"85,56701";"86,08247";"86,08247"
"18";"mfeat-karhunen";"75,5";"77,5";"76,75";"77,25";"77,75"
"19";"musk";"77,575758";"78,14871";"74,12747";"75,45455";"75,4173"
"20";"ozone-onehr";"75,296443";"67,19368";"67,3913";"65,61265";"66,20553"
"21";"pendigits";"64,75931";"67,21163";"63,49134";"64,74067";"64,85871"
"22";"planning-relax";"72,222222";"72,22222";"75";"72,22222";"75"
"23";"seeds";"90,47619";"90,47619";"92,85714";"92,85714";"92,85714"
"24";"semeion";"48,417722";"49,6875";"59,0625";"62,57862";"62,1875"
"25";"spectf-heart";"70";"68,57143";"65,27778";"64,70588";"67,14286"
"26";"tic-tac-toe";"65,625";"65,625";"65,625";"65,625";"65,625"
"27";"twonorm";"93,310811";"93,31081";"93,37838";"93,37838";"93,37838"
"28";"hill-valley-with-noise";"56,198347";"55,3719";"56,61157";"53,68852";"54,16667"
"29";"balance-scale";"54,032258";"61,90476";"63,49206";"52,38095";"70,63492"
"30";"car";"70,348837";"70,34884";"70,34884";"70,34884";"70,34884"
