"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"86,66667";"70";"93,33333";"76,66667"
"2";"bupa";"58,82353";"62,85714";"63,23529";"61,42857";"64,28571"
"3";"segment";"80,30303";"87,22944";"86,79654";"89,82684";"90,25974"
"4";"waveform-5000";"48,7976";"54,7";"55,21042";"54,4";"56,8"
"5";"phishingData";"80,15371";"82,54973";"83,90597";"84,81013";"85,62387"
"6";"mushroom";"98,21429";"98,9532";"98,76847";"98,76847";"98,9532"
"7";"pima";"69,48052";"74,02597";"74,67532";"72,07792";"71,42857"
"8";"vehicle";"51,17647";"58,92857";"64,28571";"67,85714";"69,41176"
"9";"wilt";"95,54865";"94,6281";"96,59091";"94,6281";"94,6281"
"10";"kr-vs-kp";"65,98746";"68,59375";"72,65625";"76,33229";"77,34375"
"11";"blood-transfusion-service";"77,02703";"77,02703";"77,02703";"77,02703";"77,7027"
"12";"cnae-9";"67,12963";"69,44444";"71,2963";"70,83333";"70,83333"
"13";"connectionist-mines-vs-rocks";"73,80952";"65";"71,42857";"73,80952";"66,66667"
"14";"flare";"49,64029";"52,15827";"50,72464";"44,96403";"51,09489"
"15";"indian-liver-patient";"72,41379";"73,72881";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"50";"75";"60";"81,81818";"85"
"17";"mammographic-mass";"77,08333";"82,98969";"84,02062";"82,98969";"83,50515"
"18";"mfeat-karhunen";"27,25";"39";"46,5";"54";"54,75"
"19";"musk";"95,15152";"96,05463";"96,51515";"98,02731";"97,87879"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"72,97911";"80,10018";"84,06193";"84,86364";"86,2852"
"22";"planning-relax";"72,22222";"77,77778";"72,22222";"72,22222";"72,22222"
"23";"seeds";"64,28571";"92,85714";"88,09524";"97,61905";"95,2381"
"24";"semeion";"28,4375";"37,26115";"46,01227";"49,0566";"55,52147"
"25";"spectf-heart";"74,28571";"73,52941";"78,57143";"75";"77,94118"
"26";"tic-tac-toe";"68,22917";"66,66667";"71,35417";"69,27083";"67,70833"
"27";"twonorm";"81,91633";"81,66441";"81,73207";"82,32119";"83,17568"
"28";"hill-valley-with-noise";"53,75";"52,47934";"54,13223";"60,7438";"57,43802"
"29";"balance-scale";"62,69841";"53,22581";"53,96825";"54,91803";"51,5873"
"30";"car";"70,76023";"70,76023";"70,76023";"70,76023";"70,76023"
