"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"81,666668";"72,999999";"80,333334";"80,333334";"80"
"2";"bupa";"52,731093";"56,411765";"56,504203";"56,840338";"59,710086"
"3";"segment";"79,155845";"83,809525";"84,610389";"86,493506";"86,363638"
"4";"waveform-5000";"34,290214";"37,221718";"38,609094";"41,010636";"47,09471"
"5";"phishingData";"79,045507";"80,814255";"82,125855";"82,92185";"83,28828"
"6";"mushroom";"82,930909";"83,006398";"85,165795";"89,180334";"90,06589"
"7";"pima";"65,623717";"65,040155";"65,105942";"66,07997";"65,430621"
"8";"vehicle";"48,370774";"56,917611";"57,678214";"58,034591";"59,972463"
"9";"wilt";"94,585703";"94,616695";"94,585703";"94,627004";"94,626984"
"10";"kr-vs-kp";"59,964832";"65,096542";"66,537128";"68,679565";"71,935002"
"11";"blood-transfusion-service";"76,400001";"75,664865";"76,405405";"76,405407";"76,405406"
"12";"cnae-9";"40,787037";"60";"61,574074";"65,74074";"66,527778"
"13";"connectionist-mines-vs-rocks";"56,190475";"63";"62,511904";"68,345238";"70,214285"
"14";"flare";"29,622997";"31,293226";"31,864957";"32,569406";"34,124536"
"15";"indian-liver-patient";"71,44342";"71,357214";"71,357214";"71,186261";"71,525193"
"16";"leukemia-haslinger";"79,040404";"86,015151";"83,015151";"82,515151";"85,469697"
"17";"mammographic-mass";"71,060426";"76,630703";"76,834674";"76,730549";"77,045747"
"18";"mfeat-karhunen";"63,95";"66,6";"76,525";"75,9";"80,4"
"19";"musk";"90,943564";"94,225179";"95,134718";"95,741009";"96,066994"
"20";"ozone-onehr";"97,06256";"97,121771";"97,121771";"97,121771";"97,121771"
"21";"pendigits";"86,854332";"88,710372";"89,401808";"89,892366";"90,502583"
"22";"planning-relax";"67,119881";"70,350876";"71,184208";"70,657892";"71,184208"
"23";"seeds";"83,333334";"88,571431";"87,857143";"88,095238";"86,428571"
"24";"semeion";"49,557466";"61,434612";"66,760987";"67,570434";"69,549754"
"25";"spectf-heart";"71,674836";"70,289447";"70,620214";"71,482725";"73,503502"
"26";"tic-tac-toe";"65,292543";"65,188914";"65,396709";"65,24046";"65,397257"
"27";"twonorm";"92,115048";"92,061049";"91,979977";"91,912382";"92,02048"
"28";"hill-valley-with-noise";"48,218985";"51,369861";"52,161452";"48,638052";"49,672171"
"29";"balance-scale";"46,242835";"47,530597";"48,855398";"47,991427";"50,170378"
"30";"car";"70,024462";"70,024462";"70,024462";"70,024462";"70,024462"
