"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"48,999999";"58,333332";"67,333334";"61,666666";"70"
"2";"bupa";"54,659663";"54,504202";"56,239495";"53,495798";"56,533615"
"3";"segment";"68,701299";"73,203462";"74,415584";"81,81818";"83,030301"
"4";"waveform-5000";"33,409679";"39,032797";"44,984908";"49,121917";"51,890384"
"5";"phishingData";"59,634405";"64,109908";"69,142407";"77,091402";"77,517002"
"6";"mushroom";"82,611639";"80,980488";"80,655314";"83,454797";"86,398329"
"7";"pima";"65,17686";"60,355431";"66,216675";"64,642857";"66,526827"
"8";"vehicle";"44,722786";"56,105041";"54,319605";"55,788744";"62,254477"
"9";"wilt";"95,08187";"94,616695";"94,637377";"94,802646";"94,668327"
"10";"kr-vs-kp";"54,06441";"57,958855";"59,747649";"62,999951";"65,832729"
"11";"blood-transfusion-service";"75,072073";"73,528828";"76,138739";"75,869369";"76,005406"
"12";"cnae-9";"56,527778";"63,47222";"63,703702";"65,787036";"65,092591"
"13";"connectionist-mines-vs-rocks";"55,006493";"52,139611";"53,064936";"58,581168";"55,628788"
"14";"flare";"37,524611";"42,332075";"46,709703";"48,099153";"46,366494"
"15";"indian-liver-patient";"70,932025";"70,318348";"68,427641";"71,268085";"71,102977"
"16";"leukemia-haslinger";"48,989899";"56,575758";"58,555556";"62,030303";"67,767677"
"17";"mammographic-mass";"63,081016";"69,045025";"73,058426";"74,067656";"68,620113"
"18";"mfeat-karhunen";"35,2";"42,05";"44,775";"47,3";"51,15"
"19";"musk";"87,421068";"89,353532";"91,914253";"93,71012";"93,914515"
"20";"ozone-onehr";"97,00373";"97,042866";"96,826253";"97,082548";"96,944441"
"21";"pendigits";"63,044173";"76,72506";"79,175423";"81,510472";"82,429151"
"22";"planning-relax";"68,406431";"69,005846";"71,184208";"65,687133";"70,073098"
"23";"seeds";"74,52381";"81,904763";"81,190476";"84,761905";"79,285715"
"24";"semeion";"28,73077";"36,38276";"40,30713";"44,48164";"46,612464"
"25";"spectf-heart";"72,64659";"72,622082";"72,205416";"71,813257";"73,360644"
"26";"tic-tac-toe";"62,162609";"58,489911";"59,563653";"64,459758";"65,393967"
"27";"twonorm";"54,12846";"71,26255";"59,362265";"59,533756";"66,309431"
"28";"hill-valley-with-noise";"50,861646";"51,522874";"51,485593";"49,511273";"50,533379"
"29";"balance-scale";"48,173324";"48,488224";"46,547619";"47,441118";"47,598567"
"30";"car";"63,934429";"63,306004";"70,024462";"70,024462";"70,024462"
