"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"73,6666667";"75,666668";"86,999999";"84,000001";"86,999999"
"2";"bupa";"52,5168066";"51,605043";"50,42437";"50,012603";"52,27311"
"3";"segment";"58,6796537";"61,16883";"60,17316";"60,627705";"60,541125"
"4";"waveform-5000";"38,7280188";"44,829068";"49,579797";"51,379942";"52,800144"
"5";"phishingData";"57,9243216";"57,965142";"64,774751";"65,86387";"72,032961"
"6";"mushroom";"89,1248474";"89,211031";"89,241774";"89,420308";"89,555753"
"7";"pima";"63,2843473";"69,921395";"69,85646";"70,377649";"69,600137"
"8";"vehicle";"40,9051854";"39,524917";"38,550615";"40,322519";"40,677545"
"9";"wilt";"94,5133671";"94,554711";"94,585682";"94,575373";"94,575373"
"10";"kr-vs-kp";"57,5569306";"57,650925";"57,165623";"58,338577";"60,997911"
"11";"blood-transfusion-service";"74,3297297";"72,257658";"75,408108";"73,594595";"74,409911"
"12";"cnae-9";"19,0740741";"21,064816";"17,175927";"17,962963";"16,064816"
"13";"connectionist-mines-vs-rocks";"53,6071429";"58,166666";"57,940478";"59,809523";"61,488095"
"14";"flare";"34,2861212";"34,993667";"38,557803";"37,250887";"38,473972"
"15";"indian-liver-patient";"41,2796711";"38,662985";"38,744809";"38,833938";"38,74627"
"16";"leukemia-haslinger";"64";"83,5";"85,5";"85";"85"
"17";"mammographic-mass";"76,8390871";"76,315534";"76,990996";"77,35559";"76,991018"
"18";"mfeat-karhunen";"71,55";"73,6";"73,625";"74,775";"74,95"
"19";"musk";"65,4952388";"65,659086";"66,929081";"67,118241";"69,202474"
"20";"ozone-onehr";"66,5985994";"59,512786";"60,516647";"60,650171";"61,676055"
"21";"pendigits";"60,627";"62,186255";"62,200317";"62,763556";"63,687898"
"22";"planning-relax";"69,8099415";"69,283624";"70,628653";"68,728068";"70,350875"
"23";"seeds";"85,9523809";"86,904763";"89,047619";"87,619049";"88,57143"
"24";"semeion";"34,9495682";"39,466708";"48,186206";"50,448423";"54,703748"
"25";"spectf-heart";"60,0464519";"57,281046";"54,574698";"53,724791";"54,565829"
"26";"tic-tac-toe";"65,344954";"65,344954";"65,344954";"65,344954";"65,344954"
"27";"twonorm";"92,135321";"92,142096";"92,142105";"92,182627";"92,11505"
"28";"hill-valley-with-noise";"49,741843";"49,624656";"50,405049";"50,328591";"50,74589"
"29";"balance-scale";"33,4805428";"49,038659";"48,867128";"47,118537";"53,663594"
"30";"car";"70,0249269";"70,024929";"70,024929";"70,024929";"70,024929"
