"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"65,999999";"60,666667";"70,333333";"69,666667"
"2";"bupa";"52,718489";"57,668068";"57,420168";"57,962186";"58,252101"
"3";"segment";"69,913419";"78,571429";"82,402597";"85,476191";"86,796537"
"4";"waveform-5000";"38,431472";"46,247495";"43,106538";"49,409706";"47,573821"
"5";"phishingData";"70,917624";"76,762466";"80,392808";"83,111536";"84,337105"
"6";"mushroom";"96,91654";"97,926006";"98,079938";"98,110544";"98,486031"
"7";"pima";"61,1244";"65,434037";"65,69036";"66,663533";"66,08937"
"8";"vehicle";"37,461485";"53,722688";"56,621148";"59,584034";"61,032913"
"9";"wilt";"94,740816";"94,606327";"95,050541";"94,606327";"94,606327"
"10";"kr-vs-kp";"57,747324";"61,79091";"70,290549";"72,529682";"73,281593"
"11";"blood-transfusion-service";"76,205406";"75,872073";"75,938739";"76,205406";"75,672973"
"12";"cnae-9";"58,611111";"64,120371";"66,759259";"68,055554";"67,314815"
"13";"connectionist-mines-vs-rocks";"62,249999";"53,642856";"54,77381";"60,095238";"53,821429"
"14";"flare";"32,906011";"37,953258";"35,620519";"35,424038";"34,015502"
"15";"indian-liver-patient";"71,018231";"71,018231";"71,102977";"71,357214";"71,271007"
"16";"leukemia-haslinger";"48,989899";"64,939394";"51";"60,181818";"64,494949"
"17";"mammographic-mass";"60,128408";"70,407601";"76,895465";"67,50706";"76,635081"
"18";"mfeat-karhunen";"21,95";"28,375";"36,325";"43,65";"49,825"
"19";"musk";"91,050085";"94,483638";"95,399813";"96,544579";"96,870372"
"20";"ozone-onehr";"97,102155";"97,121918";"97,121918";"97,121918";"97,082392"
"21";"pendigits";"63,986522";"74,854615";"82,145817";"83,506527";"85,143704"
"22";"planning-relax";"71,461986";"72,017542";"70,643273";"71,461986";"71,461986"
"23";"seeds";"36,428568";"76,428571";"76,904764";"82,61905";"82,857145"
"24";"semeion";"21,165346";"31,525158";"37,37081";"40,243698";"48,697438"
"25";"spectf-heart";"70,595237";"71,947478";"71,693977";"72,18814";"74,516107"
"26";"tic-tac-toe";"64,919234";"63,62855";"66,177456";"64,251814";"65,14165"
"27";"twonorm";"66,508481";"73,409376";"67,04553";"68,290826";"78,185867"
"28";"hill-valley-with-noise";"49,053364";"50,369869";"51,072009";"52,110536";"51,935288"
"29";"balance-scale";"45,921449";"46,886633";"47,035122";"48,423192";"46,716381"
"30";"car";"70,025871";"70,025871";"70,025871";"70,025871";"70,025871"
