"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"66,66667";"53,33333";"66,66667";"66,66667";"70"
"2";"bupa";"41,17647";"44,28571";"41,17647";"45,71429";"57,14286"
"3";"segment";"75,32468";"78,35498";"80,73593";"83,76623";"83,98268"
"4";"waveform-5000";"32,03593";"33";"33";"33,26653";"33,26653"
"5";"phishingData";"76,0181";"78,57143";"80,47016";"81,10307";"82,05244"
"6";"mushroom";"76,41626";"79,24877";"80,04926";"86,14532";"88,30049"
"7";"pima";"64,47368";"63,63636";"64,93506";"64,28571";"64,93506"
"8";"vehicle";"36,62791";"44,11765";"50,58824";"49,40476";"54,7619"
"9";"wilt";"94,43299";"94,43299";"94,43299";"94,52479";"94,61698"
"10";"kr-vs-kp";"50,9375";"60,3125";"61,25";"64,0625";"67,03125"
"11";"blood-transfusion-service";"72,97297";"72,97297";"75,33333";"74";"74,66667"
"12";"cnae-9";"32,87037";"49,53704";"52,31481";"61,11111";"61,11111"
"13";"connectionist-mines-vs-rocks";"45";"54,7619";"57,14286";"54,7619";"57,14286"
"14";"flare";"27,85714";"28,16901";"27,8169";"28,98551";"30,43478"
"15";"indian-liver-patient";"70,68966";"70,68966";"70,68966";"70,33898";"70,68966"
"16";"leukemia-haslinger";"68,18182";"70";"65";"70";"70"
"17";"mammographic-mass";"53,60825";"71,35417";"72,10526";"71,875";"71,875"
"18";"mfeat-karhunen";"41";"48,5";"70,75";"69,25";"76,25"
"19";"musk";"87,63278";"92,42424";"94,24242";"93,25758";"94,31818"
"20";"ozone-onehr";"96,85039";"96,85039";"96,85039";"96,85039";"96,85039"
"21";"pendigits";"85,46776";"87,5";"88,73751";"88,42297";"89,81818"
"22";"planning-relax";"50";"63,88889";"68,42105";"63,15789";"68,42105"
"23";"seeds";"76,19048";"76,19048";"80,95238";"76,19048";"73,80952"
"24";"semeion";"31,5625";"55,625";"62,1875";"63,75";"65,40881"
"25";"spectf-heart";"57,14286";"57,35294";"60,29412";"62,85714";"65,71429"
"26";"tic-tac-toe";"64,58333";"64,0625";"64,58333";"64,0625";"64,58333"
"27";"twonorm";"90,79838";"90,93369";"90,86604";"90,52774";"91,00135"
"28";"hill-valley-with-noise";"40,90909";"39,66942";"46,28099";"41,73554";"42,97521"
"29";"balance-scale";"45,16129";"46,03175";"45,16129";"45,16129";"46,03175"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
