"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"36,66667";"33,33333";"36,66667";"33,33333";"53,33333"
"2";"bupa";"50";"42,85714";"47,05882";"41,17647";"50"
"3";"segment";"59,95671";"64,28571";"64,71861";"79,22078";"79,65368"
"4";"waveform-5000";"32,9";"33";"33,1";"44,01198";"46,30739"
"5";"phishingData";"44,8915";"44,52984";"55,19892";"65,61086";"63,8914"
"6";"mushroom";"73,18573";"74,93842";"75,49261";"77,42927";"78,20197"
"7";"pima";"61,68831";"44,15584";"63,63636";"59,74026";"59,86842"
"8";"vehicle";"34,52381";"48,23529";"45,29412";"44,04762";"51,76471"
"9";"wilt";"94,43299";"94,43299";"94,43299";"94,43299";"94,61698"
"10";"kr-vs-kp";"47,6489";"52,03762";"54,0625";"54,375";"53,28125"
"11";"blood-transfusion-service";"70,66667";"57,33333";"72";"74";"73,33333"
"12";"cnae-9";"48,61111";"56,94444";"58,33333";"57,87037";"59,72222"
"13";"connectionist-mines-vs-rocks";"47,5";"43,18182";"47,5";"50";"45,45455"
"14";"flare";"28,57143";"29,85612";"39,05109";"45,35714";"43,47826"
"15";"indian-liver-patient";"69,49153";"62,93103";"44,82759";"68,10345";"68,64407"
"16";"leukemia-haslinger";"44,44444";"50";"50";"50";"45,45455"
"17";"mammographic-mass";"46,31579";"53,60825";"54,16667";"53,60825";"53,60825"
"18";"mfeat-karhunen";"30,75";"36,75";"39,75";"41,5";"45"
"19";"musk";"81,59091";"78,78788";"90,60606";"92,57576";"92,48862"
"20";"ozone-onehr";"96,25984";"96,83794";"96,06299";"96,45669";"95,86614"
"21";"pendigits";"56,13079";"69,48229";"74,70374";"78,51953";"78,57143"
"22";"planning-relax";"58,33333";"60,52632";"68,42105";"47,22222";"63,88889"
"23";"seeds";"54,7619";"73,80952";"71,42857";"66,66667";"64,28571"
"24";"semeion";"22,8125";"28,125";"32,38994";"40,25157";"41,50943"
"25";"spectf-heart";"70";"65,71429";"67,14286";"63,88889";"70,83333"
"26";"tic-tac-toe";"50";"34,73684";"38,02083";"55,72917";"58,42105"
"27";"twonorm";"49,86486";"50";"49,93234";"49,93234";"51,82186"
"28";"hill-valley-with-noise";"45,86777";"44,6281";"47,93388";"45,4918";"43,75"
"29";"balance-scale";"45,96774";"45,16129";"40,32258";"42,74194";"45,96774"
"30";"car";"36,04651";"22,41379";"69,54023";"69,54023";"69,54023"
