"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"56,666667";"46,66667";"80";"76,66667";"73,33333"
"2";"bupa";"42,857143";"42,85714";"41,17647";"42,64706";"42,64706"
"3";"segment";"53,246753";"59,09091";"57,35931";"58,87446";"58,87446"
"4";"waveform-5000";"34,068136";"40,68136";"48,29659";"49,8004";"51,3"
"5";"phishingData";"53,074141";"54,47559";"50,67812";"55,83183";"60,19022"
"6";"mushroom";"87,822878";"87,69988";"87,88438";"88,06888";"88,06888"
"7";"pima";"33,766234";"66,44737";"67,10526";"67,76316";"66,23377"
"8";"vehicle";"31,547619";"28,57143";"31,97674";"34,70588";"35,29412"
"9";"wilt";"94,008264";"94,31818";"94,43299";"94,42149";"94,42149"
"10";"kr-vs-kp";"53,59375";"51,71875";"52,1875";"52,1875";"56,09375"
"11";"blood-transfusion-service";"70";"62,83784";"72";"68,91892";"70"
"12";"cnae-9";"13,888889";"14,81481";"12,03704";"11,57407";"11,11111"
"13";"connectionist-mines-vs-rocks";"40,47619";"45";"38,09524";"42,5";"40"
"14";"flare";"24,285714";"25";"35,71429";"31,29496";"33,33333"
"15";"indian-liver-patient";"32,45614";"35,96491";"36,2069";"35,08772";"35,96491"
"16";"leukemia-haslinger";"45";"70";"75";"70";"70"
"17";"mammographic-mass";"68,229167";"68,75";"68,75";"68,75";"68,22917"
"18";"mfeat-karhunen";"68,25";"70,75";"70,25";"71,5";"71"
"19";"musk";"53,257576";"58,86364";"59,78756";"60,30303";"62,19697"
"20";"ozone-onehr";"52,173913";"50,7874";"50,98425";"56,27451";"57,48031"
"21";"pendigits";"54,859219";"59,77273";"60,5";"61,29326";"61"
"22";"planning-relax";"63,888889";"63,15789";"66,66667";"63,15789";"63,15789"
"23";"seeds";"78,571429";"80,95238";"83,33333";"83,33333";"85,71429"
"24";"semeion";"26,875";"31,01266";"39,30818";"44,40994";"49,36709"
"25";"spectf-heart";"48,571429";"45,58824";"44,28571";"42,64706";"42,64706"
"26";"tic-tac-toe";"64,948454";"64,94845";"64,94845";"64,94845";"64,94845"
"27";"twonorm";"91,093117";"91,02564";"91,08108";"91,09312";"91,09312"
"28";"hill-valley-with-noise";"45,416667";"43,80165";"46,66667";"46,28099";"46,72131"
"29";"balance-scale";"6,451613";"45,16129";"45,16129";"45,16129";"45,16129"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
