"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"33,33333";"50";"56,66667";"56,66667"
"2";"bupa";"41,17647";"52,94118";"50";"52,94118";"52,94118"
"3";"segment";"56,92641";"72,94372";"77,70563";"80,51948";"82,46753"
"4";"waveform-5000";"33";"33,1";"33";"33,5";"33,03393"
"5";"phishingData";"63,43891";"69,25859";"74,20814";"81,44796";"83,34842"
"6";"mushroom";"95,5665";"96,74047";"96,92497";"97,16749";"98,03198"
"7";"pima";"35,06494";"55,19481";"57,14286";"62,5";"57,14286"
"8";"vehicle";"25,88235";"42,94118";"50,58824";"44,11765";"50"
"9";"wilt";"94,42149";"94,42149";"94,61698";"94,42149";"94,42149"
"10";"kr-vs-kp";"51,875";"51,40625";"67,34375";"67,1875";"68,59375"
"11";"blood-transfusion-service";"76";"73,33333";"73,33333";"76";"72,66667"
"12";"cnae-9";"51,85185";"58,7963";"61,57407";"64,35185";"62,96296"
"13";"connectionist-mines-vs-rocks";"52,38095";"50";"47,5";"47,61905";"45"
"14";"flare";"26,44928";"27,85714";"28,92857";"28,57143";"28,57143"
"15";"indian-liver-patient";"67,79661";"64,40678";"68,64407";"70,68966";"70,68966"
"16";"leukemia-haslinger";"44,44444";"50";"40";"40";"45"
"17";"mammographic-mass";"50";"53,60825";"66,14583";"53,125";"65,625"
"18";"mfeat-karhunen";"16,75";"16,75";"26,25";"35,25";"42,75"
"19";"musk";"87,5";"93,10606";"94,53718";"93,63636";"95,83333"
"20";"ozone-onehr";"96,85039";"96,85039";"96,85039";"96,85039";"96,83794"
"21";"pendigits";"53,73066";"70,56415";"79,84531";"81,65304";"83,80346"
"22";"planning-relax";"68,42105";"68,42105";"65,78947";"68,42105";"68,42105"
"23";"seeds";"33,33333";"61,90476";"66,66667";"76,19048";"71,42857"
"24";"semeion";"14,96815";"23,27044";"30,50314";"34,375";"40,9375"
"25";"spectf-heart";"60,29412";"68,05556";"59,72222";"64,70588";"69,44444"
"26";"tic-tac-toe";"58,94737";"50";"64,58333";"57,73196";"59,27835"
"27";"twonorm";"49,93252";"49,93252";"49,93252";"50";"50,06766"
"28";"hill-valley-with-noise";"44,21488";"44,6281";"44,6281";"47,93388";"43,75"
"29";"balance-scale";"34,92063";"45,90164";"45,90164";"45,96774";"45,90164"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
