"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"90";"90";"90";"93,33333";"90"
"2";"bupa";"61,76471";"60";"58,82353";"61,76471";"62,85714"
"3";"segment";"81,81818";"83,33333";"86,14719";"88,31169";"89,61039"
"4";"waveform-5000";"41,4";"51,0978";"49,6";"55,88822";"56,91383"
"5";"phishingData";"80,01808";"81,91682";"82,71493";"84,35805";"85,35262"
"6";"mushroom";"87,57688";"91,57442";"92,25092";"92,00492";"91,56404"
"7";"pima";"71,42857";"68,83117";"71,71053";"70,12987";"74,67532"
"8";"vehicle";"60";"63,95349";"65,11628";"65,11628";"68,82353"
"9";"wilt";"94,6281";"94,7314";"94,7314";"94,7314";"94,7314"
"10";"kr-vs-kp";"67,34375";"69,74922";"70,44025";"71,875";"71,875"
"11";"blood-transfusion-service";"78,66667";"77,02703";"78";"78,37838";"78"
"12";"cnae-9";"53,24074";"65,74074";"65,74074";"73,14815";"71,75926"
"13";"connectionist-mines-vs-rocks";"73,80952";"70";"90";"77,5";"78,57143"
"14";"flare";"39,56835";"40,64748";"40,94203";"45,68345";"44,96403"
"15";"indian-liver-patient";"72,41379";"72,80702";"72,41379";"72,41379";"72,80702"
"16";"leukemia-haslinger";"95";"95";"100";"100";"95"
"17";"mammographic-mass";"84,375";"84,375";"84,89583";"84,89583";"84,375"
"18";"mfeat-karhunen";"78,75";"82,25";"83,75";"84,5";"83,5"
"19";"musk";"93,48485";"94,62121";"95,60606";"95,99092";"96,51515"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"87,26115";"90,21838";"90,62784";"90,71884";"91,26479"
"22";"planning-relax";"75";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"95,2381";"97,61905";"92,85714";"95,2381";"100"
"24";"semeion";"63,83648";"66,66667";"71,69811";"72,32704";"72,95597"
"25";"spectf-heart";"77,94118";"77,94118";"78,57143";"77,14286";"76,38889"
"26";"tic-tac-toe";"65,625";"67,70833";"67,1875";"66,14583";"66,14583"
"27";"twonorm";"92,63514";"92,63514";"92,97297";"92,7027";"92,77027"
"28";"hill-valley-with-noise";"57,02479";"55,78512";"57,43802";"55,78512";"57,43802"
"29";"balance-scale";"55,55556";"61,11111";"60,31746";"66,12903";"68,25397"
"30";"car";"70,76023";"70,76023";"70,76023";"70,76023";"70,76023"
