"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"73,33333";"80";"93,33333";"86,66667";"86,66667"
"2";"bupa";"58,82353";"58,82353";"58,82353";"60,29412";"60"
"3";"segment";"75,54113";"80,51948";"83,11688";"85,93074";"87,66234"
"4";"waveform-5000";"33,9";"35,8";"35,8";"38,5";"37,3"
"5";"phishingData";"81,55515";"84,0868";"84,11765";"84,49367";"84,85533"
"6";"mushroom";"87,25369";"89,90148";"79,6798";"87,06897";"89,96305"
"7";"pima";"66,88312";"72,72727";"72,07792";"71,42857";"71,42857"
"8";"vehicle";"55,35714";"60,11905";"62,94118";"64,70588";"69,64286"
"9";"wilt";"95,86777";"96,48033";"94,6281";"94,83471";"95,96273"
"10";"kr-vs-kp";"64,10658";"69,12226";"69,0625";"73,28125";"75,3125"
"11";"blood-transfusion-service";"77,02703";"77,02703";"78,66667";"79,72973";"77,7027"
"12";"cnae-9";"64,35185";"71,75926";"75,92593";"70,83333";"73,61111"
"13";"connectionist-mines-vs-rocks";"64,28571";"71,42857";"77,5";"70";"69,04762"
"14";"flare";"43,11594";"41,36691";"36,42857";"38,76812";"39,13043"
"15";"indian-liver-patient";"75,42373";"71,92982";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"50";"75";"75";"80";"90"
"17";"mammographic-mass";"85,56701";"81,77083";"84,53608";"84,53608";"86,08247"
"18";"mfeat-karhunen";"38,75";"47,75";"48,75";"51";"52,75"
"19";"musk";"90,68182";"92,19697";"94,39394";"94,69697";"95,90909"
"20";"ozone-onehr";"97,24409";"97,24409";"97,2549";"97,2332";"97,2332"
"21";"pendigits";"78,79201";"81,31267";"82,84804";"84,03094";"83,84895"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"88,09524";"92,85714";"92,85714";"95,2381";"90,47619"
"24";"semeion";"31,64557";"33,125";"41,875";"46,5625";"44,55128"
"25";"spectf-heart";"73,52941";"79,41176";"73,61111";"82,85714";"80"
"26";"tic-tac-toe";"65,625";"66,66667";"65,78947";"66,14583";"67,36842"
"27";"twonorm";"85,47297";"86,12991";"85,47297";"85,52097";"86,41892"
"28";"hill-valley-with-noise";"56,14754";"57,02479";"60,7438";"57,78689";"60,33058"
"29";"balance-scale";"53,22581";"58,73016";"53,1746";"65,07937";"67,46032"
"30";"car";"70,34884";"70,34884";"72,25434";"70,34884";"70,34884"
