"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"86,666667";"96,66667";"93,33333";"93,33333";"93,33333"
"2";"bupa";"58,823529";"62,85714";"57,14286";"61,42857";"57,14286"
"3";"segment";"61,255411";"60,60606";"63,85281";"60,38961";"63,63636"
"4";"waveform-5000";"53,7";"54,5";"55,1";"56,9";"55,6"
"5";"phishingData";"80,560579";"81,55515";"82,85068";"83,03167";"82,94118"
"6";"mushroom";"92,487685";"92,43542";"92,68143";"92,67241";"92,86593"
"7";"pima";"75,974026";"72,07792";"72,72727";"74,02597";"74,02597"
"8";"vehicle";"50,581395";"41,17647";"44,11765";"46,51163";"44,04762"
"9";"wilt";"94,628099";"94,6281";"94,6281";"94,6281";"94,6281"
"10";"kr-vs-kp";"64,0625";"65,9375";"70,78125";"71,71875";"72,34375"
"11";"blood-transfusion-service";"78,666667";"78,66667";"77,33333";"78,66667";"79,33333"
"12";"cnae-9";"22,222222";"24,07407";"26,85185";"29,62963";"25,92593"
"13";"connectionist-mines-vs-rocks";"64,285714";"73,80952";"72,5";"76,19048";"73,80952"
"14";"flare";"38,489209";"43,21429";"38,84892";"42,08633";"42,27941"
"15";"indian-liver-patient";"47,457627";"43,85965";"44,0678";"45,76271";"44,82759"
"16";"leukemia-haslinger";"95";"100";"100";"100";"100"
"17";"mammographic-mass";"81,443299";"83,50515";"81,25";"82,98969";"81,95876"
"18";"mfeat-karhunen";"75,75";"77,5";"77,25";"78,25";"79"
"19";"musk";"79,438543";"79,77273";"77,00454";"77,9879";"76,13636"
"20";"ozone-onehr";"74,3083";"71,25984";"66,33858";"65,55118";"66,92913"
"21";"pendigits";"60,272727";"60,04545";"63,40909";"66,77273";"68,77273"
"22";"planning-relax";"72,222222";"75";"75";"72,22222";"72,22222"
"23";"seeds";"95,238095";"95,2381";"97,61905";"97,61905";"97,61905"
"24";"semeion";"43,710692";"53,08642";"56,17284";"59,1195";"61,80124"
"25";"spectf-heart";"77,142857";"74,28571";"64,28571";"74,28571";"67,14286"
"26";"tic-tac-toe";"66,145833";"65,625";"65,625";"65,625";"66,14583"
"27";"twonorm";"92,828146";"92,82815";"92,82815";"92,96346";"92,76049"
"28";"hill-valley-with-noise";"52,868852";"54,5082";"52,45902";"53,71901";"54,13223"
"29";"balance-scale";"61,111111";"70,96774";"69,35484";"68,54839";"72,58065"
"30";"car";"70,348837";"70,34884";"70,34884";"70,34884";"70,34884"
