"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"83,33333";"86,66667";"83,33333";"86,66667"
"2";"bupa";"63,23529";"58,82353";"58,82353";"58,82353";"58,82353"
"3";"segment";"82,90043";"89,17749";"88,31169";"89,17749";"90,90909"
"4";"waveform-5000";"34";"40,61876";"44,58918";"42,18437";"43,7"
"5";"phishingData";"81,08597";"82,66968";"84,57014";"84,31284";"85,98553"
"6";"mushroom";"97,53998";"98,15271";"98,76999";"98,76999";"98,83149"
"7";"pima";"65,78947";"71,42857";"73,37662";"67,76316";"68,83117"
"8";"vehicle";"58,92857";"65,29412";"65,88235";"67,46988";"75,88235"
"9";"wilt";"96,07438";"96,07438";"94,6281";"94,6281";"94,6281"
"10";"kr-vs-kp";"69,12226";"72,34375";"78,28125";"77,27273";"76,71875"
"11";"blood-transfusion-service";"77,02703";"77,02703";"77,02703";"77,02703";"78,66667"
"12";"cnae-9";"61,11111";"68,98148";"68,51852";"68,51852";"75"
"13";"connectionist-mines-vs-rocks";"64,28571";"61,90476";"62,5";"66,66667";"71,42857"
"14";"flare";"39,92806";"45";"40,64748";"52,14286";"48,18841"
"15";"indian-liver-patient";"72,41379";"72,41379";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"50";"75";"72,22222";"80";"75"
"17";"mammographic-mass";"81,95876";"83,85417";"83,85417";"81,77083";"84,89583"
"18";"mfeat-karhunen";"36,25";"53,25";"55";"56,75";"59,75"
"19";"musk";"92,65152";"94,61305";"94,85628";"96,29349";"96,36914"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"78,83742";"83,56102";"84,65392";"85,70128";"85,51913"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"57,14286";"92,85714";"92,85714";"95,2381";"95,2381"
"24";"semeion";"31,98758";"42,35669";"47,51553";"53,7037";"54,375"
"25";"spectf-heart";"74,28571";"74,28571";"74,28571";"74,28571";"77,14286"
"26";"tic-tac-toe";"65,625";"67,70833";"65,625";"66,14583";"65,625"
"27";"twonorm";"82,97297";"82,94993";"83,19838";"82,83784";"83,78378"
"28";"hill-valley-with-noise";"51,23967";"57,85124";"56,96721";"59,09091";"57,5"
"29";"balance-scale";"58,06452";"56,45161";"46,77419";"52,45902";"63,70968"
"30";"car";"70,34884";"70,34884";"70,34884";"70,34884";"70,34884"
