"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"78,333333";"75,333334";"79,666666";"78,666665";"79,666667"
"2";"bupa";"57,542018";"55,642857";"54,495798";"55,941178";"55,336134"
"3";"segment";"75,30303";"79,675324";"83,571429";"84,82684";"86,861474"
"4";"waveform-5000";"35,951206";"42,247544";"45,307786";"46,268256";"50,997905"
"5";"phishingData";"77,928567";"80,547655";"81,397654";"82,379183";"83,247433"
"6";"mushroom";"81,080089";"88,7311";"88,884176";"89,549293";"90,688191"
"7";"pima";"66,866027";"66,605435";"66,347402";"66,929257";"68,229666"
"8";"vehicle";"47,875692";"56,39137";"57,902213";"58,478405";"61,208381"
"9";"wilt";"94,606327";"94,616657";"94,627009";"94,637339";"94,626987"
"10";"kr-vs-kp";"62,137068";"65,270361";"66,038882";"68,414275";"68,569588"
"11";"blood-transfusion-service";"75,001802";"76,071171";"76,469371";"76,004505";"76,605406"
"12";"cnae-9";"44,25926";"56,435185";"62,916666";"65,138889";"67,222221"
"13";"connectionist-mines-vs-rocks";"61,238095";"59,940476";"65,797618";"69,488093";"67,821429"
"14";"flare";"30,317608";"32,909498";"33,313212";"36,756965";"35,980408"
"15";"indian-liver-patient";"71,443241";"71,5295";"71,270827";"71,359955";"71,532421"
"16";"leukemia-haslinger";"72,060606";"78,515151";"84,560606";"84,959596";"84,914142"
"17";"mammographic-mass";"76,689219";"77,105349";"76,950708";"77,157968";"77,001719"
"18";"mfeat-karhunen";"67,375";"76,075";"78,1";"79,65";"81,825"
"19";"musk";"91,572709";"93,528288";"94,445081";"95,157526";"95,718408"
"20";"ozone-onehr";"97,121771";"97,121771";"97,121771";"97,121771";"97,121771"
"21";"pendigits";"85,307273";"87,650156";"88,79183";"89,47888";"89,937984"
"22";"planning-relax";"71,461986";"69,79532";"71,184208";"70,643272";"71,198828"
"23";"seeds";"88,57143";"85,952381";"86,42857";"89,047619";"88,333333"
"24";"semeion";"53,3547";"60,23244";"65,445076";"66,608645";"67,23366"
"25";"spectf-heart";"70,229692";"68,784313";"69,216853";"68,75467";"68,915033"
"26";"tic-tac-toe";"64,040021";"65,761512";"65,604714";"64,663924";"65,237938"
"27";"twonorm";"91,905391";"91,918859";"91,925577";"91,905389";"91,898606"
"28";"hill-valley-with-noise";"49,5823";"51,740662";"51,411802";"50,453212";"51,653993"
"29";"balance-scale";"45,543931";"48,991506";"50,879375";"56,836686";"58,399331"
"30";"car";"70,024937";"70,024937";"70,024937";"70,024937";"70,024937"
