"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"75";"83";"85";"85,666667";"86,666666"
"2";"bupa";"50,0210084";"48,810924";"47,67227";"50,420168";"46,373951"
"3";"segment";"57,4675322";"57,900434";"59,22078";"56,926406";"60,281385"
"4";"waveform-5000";"45,090257";"50,420362";"53,280163";"54,230044";"54,499984"
"5";"phishingData";"77,254662";"79,904969";"80,475065";"80,931867";"81,271024"
"6";"mushroom";"90,663378";"90,964806";"91,087861";"91,106454";"91,377309"
"7";"pima";"67,7084758";"69,139611";"69,266063";"69,588174";"69,268625"
"8";"vehicle";"39,091083";"37,712028";"39,720164";"38,98496";"39,721281"
"9";"wilt";"94,5031642";"94,57533";"94,585661";"94,585682";"94,596013"
"10";"kr-vs-kp";"60,7955799";"62,469069";"64,518346";"67,178917";"67,273499"
"11";"blood-transfusion-service";"70,863063";"73,453154";"74,521621";"74,863064";"74,257657"
"12";"cnae-9";"17,5";"17,685184";"18,75";"18,333334";"16,666666"
"13";"connectionist-mines-vs-rocks";"57,2857142";"59,430735";"53,922078";"63,040043";"59,804113"
"14";"flare";"28,263572";"32,610806";"32,807439";"35,485573";"36,6986"
"15";"indian-liver-patient";"39,878854";"38,857624";"38,607772";"39,533976";"38,352023"
"16";"leukemia-haslinger";"71";"82,5";"85,5";"86,5";"86"
"17";"mammographic-mass";"76,4728194";"76,422883";"76,479206";"76,994167";"76,782612"
"18";"mfeat-karhunen";"72,325";"73,925";"74,275";"74,575";"74,95"
"19";"musk";"65,862469";"71,83138";"70,124925";"70,284087";"67,373633"
"20";"ozone-onehr";"66,187772";"59,182973";"60,982172";"60,862833";"59,819583"
"21";"pendigits";"57,4456498";"57,44165";"60,07942";"62,263512";"63,4554"
"22";"planning-relax";"71,1695905";"68,698829";"67,631579";"68,961986";"69,546781"
"23";"seeds";"86,4285714";"89,761907";"87,380954";"87,619049";"89,047621"
"24";"semeion";"37,3281076";"42,990144";"50,992102";"53,213055";"56,148436"
"25";"spectf-heart";"64,3891222";"60,941642";"56,101774";"56,823996";"56,403829"
"26";"tic-tac-toe";"65,1867314";"65,344626";"65,344626";"65,344626";"65,396709"
"27";"twonorm";"92,1353823";"92,135411";"92,142123";"92,17596";"92,162412"
"28";"hill-valley-with-noise";"50,6591361";"50,740426";"49,260614";"50,737377";"51,196993"
"29";"balance-scale";"36,936764";"50,261138";"56,728112";"59,609575";"65,750129"
"30";"car";"70,0244596";"70,024462";"70,024462";"70,024462";"70,024462"
