"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"68,333333";"70,666667";"74,666665";"73,999999"
"2";"bupa";"53,718488";"57,100842";"56,382354";"57,840338";"57,983195"
"3";"segment";"77,445887";"83,939394";"84,718615";"85,930736";"86,839828"
"4";"waveform-5000";"33,419758";"33,928501";"34,691864";"35,080247";"36,021402"
"5";"phishingData";"76,795002";"81,095047";"82,234712";"82,732027";"83,93964"
"6";"mushroom";"96,380893";"97,230664";"98,10441";"98,295213";"98,405937"
"7";"pima";"65,105942";"64,326723";"64,976074";"65,303312";"65,168315"
"8";"vehicle";"44,484703";"54,998728";"59,855286";"61,60444";"64,006962"
"9";"wilt";"95,091625";"94,750993";"94,606365";"94,606365";"94,606365"
"10";"kr-vs-kp";"63,643124";"63,92359";"70,726882";"73,624266";"73,827096"
"11";"blood-transfusion-service";"74,938739";"76,272073";"76,205406";"76,205406";"75,33874"
"12";"cnae-9";"47,87037";"59,166666";"60,925926";"62,175927";"66,064815"
"13";"connectionist-mines-vs-rocks";"55,559522";"50,646103";"55,095238";"54,121212";"60,050865"
"14";"flare";"32,317434";"34,878437";"34,081466";"37,963644";"40,780846"
"15";"indian-liver-patient";"69,164232";"71,357214";"71,357214";"71,357214";"71,357214"
"16";"leukemia-haslinger";"48,989899";"61,363636";"55,767677";"62,161616";"63,611111"
"17";"mammographic-mass";"68,717834";"76,332731";"78,144403";"78,197527";"78,140074"
"18";"mfeat-karhunen";"29,6";"48,075";"51,175";"53,45";"54,775"
"19";"musk";"90,732098";"93,301119";"94,043496";"95,377117";"95,619612"
"20";"ozone-onehr";"97,121918";"97,121918";"97,121918";"97,121918";"97,06263"
"21";"pendigits";"75,990093";"81,49215";"82,987679";"83,692698";"84,229299"
"22";"planning-relax";"71,461986";"71,461986";"71,461986";"71,461986";"71,461986"
"23";"seeds";"39,047617";"84,047618";"84,047619";"87,380953";"86,190477"
"24";"semeion";"26,724176";"34,570477";"41,926563";"46,571974";"48,230148"
"25";"spectf-heart";"67,182538";"70,566758";"72,78898";"72,78898";"72,527076"
"26";"tic-tac-toe";"64,042543";"64,927959";"65,240459";"65,500876";"65,344626"
"27";"twonorm";"77,797425";"81,946148";"82,047172";"81,72995";"82,054073"
"28";"hill-valley-with-noise";"48,977115";"50,084306";"50,572415";"51,459609";"51,774637"
"29";"balance-scale";"46,101943";"46,31154";"45,999536";"45,839861";"52,158303"
"30";"car";"70,023995";"70,023995";"70,023995";"70,023995";"70,023995"
