"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"63,33333";"63,33333";"70";"66,66667";"66,66667"
"2";"bupa";"54,41176";"51,47059";"47,05882";"47,05882";"45,58824"
"3";"segment";"71,86147";"69,91342";"78,35498";"80,08658";"83,98268"
"4";"waveform-5000";"33,03393";"36,6";"37,27455";"33,6";"40,4"
"5";"phishingData";"75,27125";"77,44123";"79,29476";"80,06329";"81,41953"
"6";"mushroom";"75,24631";"83,64084";"83,66215";"86,53137";"89,7294"
"7";"pima";"64,28571";"64,93506";"62,98701";"60,38961";"62,98701"
"8";"vehicle";"29,7619";"47,67442";"46,47059";"48,80952";"55,35714"
"9";"wilt";"94,42149";"94,42149";"94,42149";"94,42149";"94,42149"
"10";"kr-vs-kp";"59,27673";"61,09375";"61,875";"64,26332";"64,89028"
"11";"blood-transfusion-service";"68,66667";"75,33333";"75";"74";"74,66667"
"12";"cnae-9";"33,33333";"48,61111";"59,72222";"56,01852";"56,48148"
"13";"connectionist-mines-vs-rocks";"50";"47,61905";"47,61905";"61,90476";"59,52381"
"14";"flare";"17,3913";"24,46043";"23,38129";"23,38129";"26,95035"
"15";"indian-liver-patient";"70,68966";"69,82759";"68,96552";"70,33898";"70,68966"
"16";"leukemia-haslinger";"35";"50";"70";"70";"77,77778"
"17";"mammographic-mass";"71,35417";"70,3125";"70,3125";"72,91667";"70,3125"
"18";"mfeat-karhunen";"59,75";"69,25";"74,25";"73,75";"79,75"
"19";"musk";"89,68134";"91,81818";"93,39909";"94,31818";"94,54545"
"20";"ozone-onehr";"96,85039";"96,85039";"96,85039";"96,85039";"96,85039"
"21";"pendigits";"82,57507";"86,7152";"87,86364";"88,09091";"88,38798"
"22";"planning-relax";"65,78947";"55,55556";"68,42105";"65,78947";"65,78947"
"23";"seeds";"73,80952";"78,57143";"73,80952";"80,95238";"78,57143"
"24";"semeion";"48,11321";"55,37975";"60,37736";"61,00629";"63,20755"
"25";"spectf-heart";"57,14286";"50";"61,42857";"61,76471";"57,14286"
"26";"tic-tac-toe";"59,375";"64,58333";"64,58333";"63,02083";"63,15789"
"27";"twonorm";"90,68826";"90,55331";"90,62078";"90,55331";"90,48583"
"28";"hill-valley-with-noise";"42,14876";"42,62295";"44,6281";"42,14876";"47,52066"
"29";"balance-scale";"27,04918";"26,98413";"45,90164";"50";"50,81967"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
