"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"50";"46,66667";"60";"63,33333"
"2";"bupa";"47,14286";"45,71429";"38,57143";"48,52941";"48,52941"
"3";"segment";"67,31602";"74,45887";"77,27273";"80,73593";"81,60173"
"4";"waveform-5000";"32,7";"32,3";"33,1";"32,9";"33,4"
"5";"phishingData";"77,23982";"78,52622";"80,06329";"81,17647";"81,41953"
"6";"mushroom";"75,27675";"75,49261";"75,36946";"73,92374";"76,60099"
"7";"pima";"53,94737";"63,63636";"64,28571";"64,28571";"64,93506"
"8";"vehicle";"39,28571";"50,58824";"44,04762";"55,29412";"57,7381"
"9";"wilt";"94,43299";"94,43299";"94,43299";"94,43299";"94,61698"
"10";"kr-vs-kp";"56,40625";"58,125";"60,15625";"62,96875";"62,34375"
"11";"blood-transfusion-service";"53,33333";"67,33333";"74,66667";"68,66667";"75,33333"
"12";"cnae-9";"37,03704";"46,2963";"48,61111";"51,38889";"56,94444"
"13";"connectionist-mines-vs-rocks";"28,57143";"45,2381";"50";"50";"50"
"14";"flare";"25,71429";"27,69784";"24,63768";"28,05755";"24,63768"
"15";"indian-liver-patient";"66,37931";"66,37931";"70,68966";"70,17544";"69,82759"
"16";"leukemia-haslinger";"40";"45";"45";"45";"50"
"17";"mammographic-mass";"54,16667";"53,60825";"53,125";"73,19588";"73,95833"
"18";"mfeat-karhunen";"22,25";"34";"36";"43,25";"44,25"
"19";"musk";"84,01515";"90,83333";"90,97117";"91,89394";"93,32322"
"20";"ozone-onehr";"95,68627";"95,45455";"95,65217";"96,44269";"95,86614"
"21";"pendigits";"73";"75,45455";"79,43585";"81,34668";"82,10383"
"22";"planning-relax";"68,42105";"63,88889";"55,26316";"55,26316";"66,66667"
"23";"seeds";"57,14286";"69,04762";"73,80952";"76,19048";"73,80952"
"24";"semeion";"15,3125";"24,6875";"25,94937";"33,125";"35,12658"
"25";"spectf-heart";"64,28571";"67,64706";"62,5";"71,42857";"58,33333"
"26";"tic-tac-toe";"56,25";"64,0625";"63,02083";"63,02083";"60,9375"
"27";"twonorm";"82,09459";"83,44595";"82,94993";"83,58108";"83,44595"
"28";"hill-valley-with-noise";"45,86777";"45,90164";"43,33333";"46,25";"47,54098"
"29";"balance-scale";"38,88889";"34,42623";"45,16129";"36,50794";"46,03175"
"30";"car";"37,7907";"69,54023";"69,54023";"69,54023";"69,54023"
