"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"60";"66,66667";"76,66667";"70";"76,66667"
"2";"bupa";"41,176471";"41,17647";"35,71429";"35,71429";"37,14286"
"3";"segment";"52,380952";"54,11255";"56,70996";"52,38095";"56,92641"
"4";"waveform-5000";"40,3";"44";"50,8";"51,4";"51,4"
"5";"phishingData";"70,253165";"78,00905";"78,02893";"78,34539";"79,79204"
"6";"mushroom";"88,977833";"89,48339";"90,08621";"89,48339";"90,2829"
"7";"pima";"61,688312";"66,88312";"65,58442";"65,58442";"63,63636"
"8";"vehicle";"30,722892";"33,52941";"36,30952";"36,14458";"36,62791"
"9";"wilt";"93,71134";"94,40994";"94,40994";"94,43299";"94,43299"
"10";"kr-vs-kp";"57,03125";"58,125";"58,125";"61,40625";"62,5"
"11";"blood-transfusion-service";"53,333333";"68,91892";"68,24324";"70,27027";"70,27027"
"12";"cnae-9";"12,037037";"12,96296";"12,5";"12,03704";"11,11111"
"13";"connectionist-mines-vs-rocks";"50";"50";"23,80952";"50";"45,2381"
"14";"flare";"13,475177";"17,26619";"27,69784";"21,63121";"29,85612"
"15";"indian-liver-patient";"32,45614";"33,89831";"33,05085";"33,89831";"33,05085"
"16";"leukemia-haslinger";"50";"70";"70";"70";"70"
"17";"mammographic-mass";"72,105263";"70,83333";"73,15789";"73,15789";"71,35417"
"18";"mfeat-karhunen";"68,5";"68,75";"69,25";"69,5";"69,5"
"19";"musk";"58,725341";"56,74242";"60,31866";"62,04545";"60,54628"
"20";"ozone-onehr";"55,905512";"47,62846";"56,86275";"53,54331";"55,4902"
"21";"pendigits";"55,009107";"55,69217";"56,51184";"59,75499";"59,42623"
"22";"planning-relax";"68,421053";"58,33333";"60,52632";"58,33333";"63,88889"
"23";"seeds";"76,190476";"76,19048";"76,19048";"76,19048";"76,19048"
"24";"semeion";"23,566879";"26,75159";"42,45283";"43,20988";"51,88679"
"25";"spectf-heart";"54,411765";"50";"48,52941";"47,05882";"48,52941"
"26";"tic-tac-toe";"63,684211";"64,58333";"64,58333";"64,58333";"64,58333"
"27";"twonorm";"90,743243";"90,81081";"90,87838";"90,67568";"90,94595"
"28";"hill-valley-with-noise";"47,520661";"47,52066";"45,90164";"46,69421";"46,31148"
"29";"balance-scale";"7,936508";"45,16129";"46,03175";"46,77419";"55,64516"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
