"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"53,33333";"46,66667";"63,33333";"53,33333"
"2";"bupa";"38,23529";"50";"48,52941";"55,71429";"57,14286"
"3";"segment";"67,96537";"79,43723";"81,38528";"81,60173";"84,19913"
"4";"waveform-5000";"32,93413";"33";"33,06613";"33";"33,06613"
"5";"phishingData";"55,6962";"78,30018";"79,97288";"80,28933";"81,32911"
"6";"mushroom";"93,41133";"95,75646";"97,23247";"97,72167";"97,72167"
"7";"pima";"64,93506";"50";"50";"64,28571";"63,81579"
"8";"vehicle";"29,41176";"44,57831";"54,7619";"54,70588";"57,05882"
"9";"wilt";"94,61698";"94,43299";"94,43299";"94,43299";"94,43299"
"10";"kr-vs-kp";"58,77743";"58,75";"63,28125";"67,34375";"70,46875"
"11";"blood-transfusion-service";"70";"76";"75,33333";"76";"70,66667"
"12";"cnae-9";"41,2037";"53,7037";"54,16667";"56,48148";"58,33333"
"13";"connectionist-mines-vs-rocks";"50";"42,85714";"42,85714";"50";"45"
"14";"flare";"26,08696";"28,26087";"23,02158";"26,25899";"32,6087"
"15";"indian-liver-patient";"50";"70,68966";"70,68966";"70,68966";"70,68966"
"16";"leukemia-haslinger";"44,44444";"40";"45";"38,88889";"50"
"17";"mammographic-mass";"45,83333";"68,04124";"73,4375";"73,4375";"72,39583"
"18";"mfeat-karhunen";"17,25";"38,75";"43,75";"49,5";"51,75"
"19";"musk";"88,84674";"91,95751";"93,0303";"94,15781";"94,7648"
"20";"ozone-onehr";"96,85039";"96,85039";"96,85039";"96,85039";"96,64032"
"21";"pendigits";"71,92903";"80,30853";"81,49499";"82,69755";"82,93904"
"22";"planning-relax";"68,42105";"68,42105";"68,42105";"68,42105";"68,42105"
"23";"seeds";"33,33333";"73,80952";"73,80952";"76,19048";"78,57143"
"24";"semeion";"19,10828";"20,25316";"32,91139";"40,06211";"38,92405"
"25";"spectf-heart";"51,42857";"50";"71,42857";"71,42857";"63,88889"
"26";"tic-tac-toe";"52,60417";"60,9375";"64,58333";"64,94845";"64,58333"
"27";"twonorm";"50";"81,08108";"79,66216";"79,86486";"80,74324"
"28";"hill-valley-with-noise";"43,03279";"44,2623";"44,58333";"41,39344";"44,6281"
"29";"balance-scale";"36,50794";"39,34426";"45,16129";"31,45161";"45,96774"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
