"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"80";"93,33333";"96,66667";"93,33333";"90"
"2";"bupa";"58,82353";"66,17647";"61,76471";"61,42857";"63,23529"
"3";"segment";"79,87013";"86,14719";"85,93074";"88,09524";"88,09524"
"4";"waveform-5000";"42,6";"48,1";"55";"54,2";"56,7"
"5";"phishingData";"81,14828";"82,09765";"82,91139";"83,58951";"84,47964"
"6";"mushroom";"90,71341";"90,32059";"91,20541";"91,57442";"91,57442"
"7";"pima";"69,73684";"69,48052";"71,42857";"68,83117";"68,83117"
"8";"vehicle";"52,97619";"70,34884";"64,70588";"69,64286";"68,60465"
"9";"wilt";"94,6281";"94,6281";"94,6281";"94,7314";"94,6281"
"10";"kr-vs-kp";"64,10658";"70";"70,9375";"72,57053";"75,3125"
"11";"blood-transfusion-service";"77,7027";"77,02703";"76,35135";"77,02703";"79,05405"
"12";"cnae-9";"50";"67,12963";"69,44444";"68,05556";"70,83333"
"13";"connectionist-mines-vs-rocks";"69,04762";"80,95238";"72,72727";"76,19048";"71,42857"
"14";"flare";"38,04348";"38,1295";"43,11594";"41,36691";"44,64286"
"15";"indian-liver-patient";"72,41379";"73,72881";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"95";"100";"100";"100";"100"
"17";"mammographic-mass";"84,02062";"82,98969";"82,98969";"84,02062";"84,53608"
"18";"mfeat-karhunen";"70";"82";"85";"82";"85,75"
"19";"musk";"93,40909";"94,39394";"95,75758";"96,59091";"96,06061"
"20";"ozone-onehr";"97,24409";"97,24409";"97,44094";"97,44094";"97,24409"
"21";"pendigits";"86,65756";"89,28247";"89,7366";"90,46322";"91,28065"
"22";"planning-relax";"77,77778";"72,22222";"72,22222";"75";"72,22222"
"23";"seeds";"95,2381";"92,85714";"95,2381";"100";"97,61905"
"24";"semeion";"60,12658";"69,62025";"69,93671";"75,63291";"71,83544"
"25";"spectf-heart";"74,28571";"75";"81,42857";"74,28571";"80,88235"
"26";"tic-tac-toe";"66,66667";"65,625";"66,14583";"67,36842";"68,22917"
"27";"twonorm";"92,82815";"92,77027";"92,64507";"92,69283";"92,64507"
"28";"hill-valley-with-noise";"62,39669";"57,5";"58,19672";"57,08333";"55"
"29";"balance-scale";"52,38095";"54,91803";"60,48387";"71,77419";"67,46032"
"30";"car";"70,34884";"70,34884";"70,34884";"70,34884";"70,34884"
