"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"66,66667";"83,33333";"83,33333";"86,66667";"90"
"2";"bupa";"58,82353";"60,29412";"61,76471";"60";"62,85714"
"3";"segment";"80,30303";"83,11688";"86,14719";"88,52814";"85,71429"
"4";"waveform-5000";"36,02794";"37,32535";"42,21557";"35,8";"42,91417"
"5";"phishingData";"82,59494";"85,14493";"84,26763";"84,01268";"84,62929"
"6";"mushroom";"86,34686";"91,133";"90,02463";"79,18719";"88,86839"
"7";"pima";"72,07792";"71,42857";"68,42105";"74,02597";"73,37662"
"8";"vehicle";"57,22892";"65,88235";"63,52941";"63,09524";"68,23529"
"9";"wilt";"95,45455";"95,97107";"94,6281";"94,92754";"95,04132"
"10";"kr-vs-kp";"65,9375";"68,75";"72,03125";"73,59375";"75,31447"
"11";"blood-transfusion-service";"77,02703";"77,02703";"79,05405";"77,02703";"77,7027"
"12";"cnae-9";"62,96296";"68,05556";"65,27778";"68,51852";"70,37037"
"13";"connectionist-mines-vs-rocks";"76,19048";"66,66667";"64,28571";"77,5";"73,80952"
"14";"flare";"41,42857";"30,21583";"36,69065";"40,28777";"31,29496"
"15";"indian-liver-patient";"72,88136";"72,41379";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"50";"77,77778";"85";"85";"85"
"17";"mammographic-mass";"82,29167";"82,29167";"85,56701";"83,85417";"83,50515"
"18";"mfeat-karhunen";"34";"42,25";"46,25";"51,5";"53,75"
"19";"musk";"90,36419";"92,34848";"94,39394";"94,30956";"95,59939"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"77,57052";"80,34577";"84,07643";"83,71247";"84,84986"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"85,71429";"95,2381";"97,61905";"92,85714";"95,2381"
"24";"semeion";"27,04403";"33,5443";"39,6875";"44,6875";"45,56962"
"25";"spectf-heart";"74,28571";"74,28571";"83,82353";"77,94118";"79,41176"
"26";"tic-tac-toe";"66,84211";"65,625";"67,89474";"68,22917";"67,1875"
"27";"twonorm";"84,45946";"85,45332";"86,89189";"86,75676";"87,28011"
"28";"hill-valley-with-noise";"57,5";"58,26446";"57,08333";"56,61157";"58,26446"
"29";"balance-scale";"55,55556";"57,93651";"54,7619";"61,29032";"66,66667"
"30";"car";"70,76023";"70,76023";"70,76023";"70,76023";"70,76023"
