"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"90";"93,33333";"93,33333";"96,66667";"96,66667"
"2";"bupa";"58,82353";"55,88235";"58,57143";"58,57143";"58,82353"
"3";"segment";"60,60606";"58,65801";"61,47186";"59,52381";"62,98701"
"4";"waveform-5000";"53,19361";"55,9";"56,08782";"58,31663";"57,31463"
"5";"phishingData";"80,65099";"81,60036";"82,09765";"82,44344";"82,30769"
"6";"mushroom";"91,87192";"92,18942";"92,49692";"91,94342";"92,9803"
"7";"pima";"73,37662";"74,67532";"75,97403";"73,37662";"73,37662"
"8";"vehicle";"46,42857";"42,85714";"52,35294";"42,94118";"49,39759"
"9";"wilt";"94,6281";"94,6281";"94,6281";"94,6281";"94,6281"
"10";"kr-vs-kp";"67,34375";"66,40625";"72,03125";"67,8125";"71,47335"
"11";"blood-transfusion-service";"76";"77,33333";"78";"77,33333";"77,33333"
"12";"cnae-9";"35,18519";"26,85185";"37,5";"26,38889";"24,53704"
"13";"connectionist-mines-vs-rocks";"66,66667";"70";"76,19048";"72,5";"72,5"
"14";"flare";"37,85714";"45,28986";"44,56522";"46,40288";"41,66667"
"15";"indian-liver-patient";"45,68966";"41,37931";"40,67797";"40,51724";"40,67797"
"16";"leukemia-haslinger";"95";"95";"100";"95";"95"
"17";"mammographic-mass";"84,89583";"78,86598";"81,25";"84,375";"84,375"
"18";"mfeat-karhunen";"75,75";"77,5";"77,75";"79,25";"78,25"
"19";"musk";"80,22727";"76,47951";"72,72727";"78,14871";"77,84522"
"20";"ozone-onehr";"75,59055";"68,11024";"66,40316";"66,20553";"67,12598"
"21";"pendigits";"59,91811";"60,49046";"66,53005";"67,38139";"69,02372"
"22";"planning-relax";"75";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"100";"97,61905";"97,61905";"97,61905";"97,61905"
"24";"semeion";"42,67516";"52,1875";"55,625";"55,66038";"59,25926"
"25";"spectf-heart";"74,28571";"64,28571";"62,85714";"64,28571";"65,71429"
"26";"tic-tac-toe";"65,625";"65,625";"65,625";"65,625";"65,625"
"27";"twonorm";"92,96346";"92,82815";"92,89581";"92,82815";"93,03112"
"28";"hill-valley-with-noise";"55,7377";"55,3719";"55,3719";"54,16667";"55,7377"
"29";"balance-scale";"57,93651";"62,69841";"66,66667";"68,25397";"73,80952"
"30";"car";"70,34884";"70,34884";"70,34884";"70,34884";"70,34884"
