"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"83,33333";"83,33333";"90";"93,33333"
"2";"bupa";"58,82353";"58,82353";"58,82353";"61,42857";"60,29412"
"3";"segment";"85,06494";"85,28139";"86,36364";"89,61039";"89,39394"
"4";"waveform-5000";"33,93214";"42,7";"42,4";"46,7";"44,01198"
"5";"phishingData";"81,34058";"82,92572";"83,43891";"83,5443";"85,53345"
"6";"mushroom";"97,97048";"98,40098";"98,58374";"98,95449";"98,70849"
"7";"pima";"64,93506";"66,23377";"68,83117";"68,83117";"71,42857"
"8";"vehicle";"55,95238";"61,90476";"70,83333";"66,66667";"71,42857"
"9";"wilt";"94,6281";"95,85921";"95,66116";"94,6281";"94,6281"
"10";"kr-vs-kp";"69,375";"73,75";"70,15625";"76,80251";"77,03125"
"11";"blood-transfusion-service";"77,02703";"77,02703";"77,02703";"77,02703";"77,02703"
"12";"cnae-9";"56,94444";"66,2037";"67,59259";"70,37037";"73,14815"
"13";"connectionist-mines-vs-rocks";"59,52381";"66,66667";"68,18182";"66,66667";"59,52381"
"14";"flare";"38,76812";"42,75362";"44,96403";"46,80851";"46,01449"
"15";"indian-liver-patient";"72,41379";"75,86207";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"50";"85";"81,81818";"80";"81,81818"
"17";"mammographic-mass";"80,41237";"83,15789";"84,02062";"85,26316";"83,15789"
"18";"mfeat-karhunen";"44,25";"54,25";"58";"60,75";"60"
"19";"musk";"93,71212";"94,68892";"95,45455";"96,28788";"96,81818"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"78,40183";"83,40888";"84,27017";"85,76609";"87,08069"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"52,38095";"92,85714";"92,85714";"97,61905";"100"
"24";"semeion";"37,10692";"46,22642";"48,13665";"50,94937";"54,43038"
"25";"spectf-heart";"74,28571";"74,28571";"73,52941";"75";"75,71429"
"26";"tic-tac-toe";"65,625";"65,625";"67,89474";"65,625";"67,1875"
"27";"twonorm";"83,69418";"82,94993";"84,34548";"83,33333";"83,58108"
"28";"hill-valley-with-noise";"57,08333";"55,7377";"63,63636";"56,25";"54,58333"
"29";"balance-scale";"53,96825";"54,83871";"49,20635";"52,38095";"52,38095"
"30";"car";"70,34884";"70,34884";"70,34884";"70,34884";"70,34884"
