"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"72";"78,999999";"77,666667";"80,333333";"79,333334"
"2";"bupa";"55,92017";"58,151261";"55,079832";"54,92857";"55,79832"
"3";"segment";"74,372295";"81,731601";"83,593072";"85,04329";"86,62338"
"4";"waveform-5000";"37,819599";"38,5506";"45,991256";"49,147537";"49,929764"
"5";"phishingData";"78,475601";"80,547163";"81,772895";"82,460316";"83,247396"
"6";"mushroom";"81,899162";"86,183397";"87,332666";"90,016481";"90,866616"
"7";"pima";"65,24265";"66,082535";"67,577753";"67,250515";"66,535373"
"8";"vehicle";"46,445313";"53,209988";"56,451794";"59,969302";"62,869209"
"9";"wilt";"94,606327";"94,585665";"94,585644";"94,595995";"94,606326"
"10";"kr-vs-kp";"61,952117";"64,971521";"66,770017";"69,491214";"70,116511"
"11";"blood-transfusion-service";"74,939639";"75,531532";"74,664865";"75,472071";"76,074775"
"12";"cnae-9";"39,62963";"59,722222";"64,166666";"64,583333";"67,592592"
"13";"connectionist-mines-vs-rocks";"57,478354";"64,796536";"63,308441";"63,728355";"68,270563"
"14";"flare";"27,255449";"29,334103";"36,904347";"35,712625";"36,002957"
"15";"indian-liver-patient";"71,273749";"71,612732";"71,187541";"71,358495";"71,358495"
"16";"leukemia-haslinger";"78,075758";"82,641414";"82,550505";"86,10606";"82,641414"
"17";"mammographic-mass";"75,344298";"76,696419";"77,423494";"77,271003";"77,373033"
"18";"mfeat-karhunen";"67,375";"75,35";"77,95";"80,05";"82,175"
"19";"musk";"92,247827";"93,657113";"94,611831";"95,180152";"95,505933"
"20";"ozone-onehr";"97,082254";"97,121624";"97,141309";"97,141309";"97,042806"
"21";"pendigits";"85,643458";"87,776936";"88,718248";"89,518837";"89,75989"
"22";"planning-relax";"71,491226";"71,461986";"70,628653";"71,988302";"70,657892"
"23";"seeds";"83,809524";"86,904761";"86,190478";"86,904761";"87,619048"
"24";"semeion";"49,404184";"60,493673";"63,886028";"66,963091";"68,211742"
"25";"spectf-heart";"68,515406";"70,360876";"69,975956";"68,914331";"72,51237"
"26";"tic-tac-toe";"65,084757";"64,505262";"65,028288";"64,564473";"66,335853"
"27";"twonorm";"91,979788";"92,04732";"91,925642";"91,966229";"92,074291"
"28";"hill-valley-with-noise";"50,791588";"51,503343";"50,994807";"50,787202";"49,466191"
"29";"balance-scale";"45,393092";"49,771117";"53,594345";"56,893325";"57,017535"
"30";"car";"70,024462";"70,024462";"70,024462";"70,024462";"70,024462"
