"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"55,333333";"73,333333";"72,999999";"77,333334";"77,333333"
"2";"bupa";"53,596639";"53,789916";"57,550422";"56,37395";"57,537816"
"3";"segment";"72,727272";"79,74026";"82,987013";"83,484849";"83,809522"
"4";"waveform-5000";"33,779761";"34,029421";"35,808884";"33,92026";"35,517426"
"5";"phishingData";"80,348008";"82,167029";"82,971325";"83,093753";"83,292556"
"6";"mushroom";"78,07569";"82,490876";"79,062791";"78,200593";"79,485964"
"7";"pima";"65,622862";"65,357995";"65,304167";"67,708474";"68,16302"
"8";"vehicle";"49,659818";"56,369879";"57,571028";"59,044781";"61,522987"
"9";"wilt";"94,68901";"94,750992";"94,606365";"94,637421";"94,740661"
"10";"kr-vs-kp";"60,732985";"64,424406";"64,859162";"67,659072";"71,607367"
"11";"blood-transfusion-service";"75,666667";"75,472073";"76,408108";"74,938739";"76,206306"
"12";"cnae-9";"53,75";"57,731483";"59,814817";"64,166667";"65,416667"
"13";"connectionist-mines-vs-rocks";"60,071428";"56,45238";"50,952382";"62,999999";"64,678571"
"14";"flare";"31,477039";"28,183315";"29,94644";"30,631982";"29,264285"
"15";"indian-liver-patient";"71,696377";"71,18352";"70,235244";"71,355933";"71,097312"
"16";"leukemia-haslinger";"48,989899";"68,09596";"68,030303";"72,141414";"65,141414"
"17";"mammographic-mass";"67,261673";"74,264476";"77,880227";"78,873593";"78,662528"
"18";"mfeat-karhunen";"29,725";"37,3";"40,725";"46,9";"46,475"
"19";"musk";"88,610441";"90,747103";"92,906883";"93,263381";"94,438037"
"20";"ozone-onehr";"96,589342";"96,589262";"96,904768";"96,98382";"97,082401"
"21";"pendigits";"74,977201";"78,620702";"81,631594";"82,478235";"83,464967"
"22";"planning-relax";"67,587717";"65,906431";"69,064326";"71,461986";"70,906431"
"23";"seeds";"70,476191";"80,238095";"84,523809";"83,571429";"84,047619"
"24";"semeion";"23,135961";"30,069671";"35,692508";"38,638203";"41,619598"
"25";"spectf-heart";"69,424135";"71,785246";"72,520542";"71,944213";"73,806256"
"26";"tic-tac-toe";"64,981359";"63,300439";"64,874452";"64,663378";"65,292214"
"27";"twonorm";"83,675582";"84,108253";"84,669382";"84,945761";"85,290841"
"28";"hill-valley-with-noise";"50,292713";"51,907329";"50,120303";"50,525956";"53,590389"
"29";"balance-scale";"45,829117";"44,532561";"48,466252";"49,760415";"53,705713"
"30";"car";"67,668615";"70,024937";"70,024937";"70,024937";"70,024937"
