"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"76,999999";"81,333332";"86";"87,666665";"87,666667"
"2";"bupa";"54,336135";"48";"51,134456";"50,705883";"49,743699"
"3";"segment";"54,502163";"55,714286";"58,13853";"56,406928";"58,030303"
"4";"waveform-5000";"48,756301";"52,391966";"54,070215";"54,961458";"54,571357"
"5";"phishingData";"75,942584";"79,570479";"80,366325";"80,9634";"81,04034"
"6";"mushroom";"90,417232";"90,970965";"90,700438";"91,174227";"91,327851"
"7";"pima";"67,441045";"69,261789";"70,242652";"70,113635";"68,936261"
"8";"vehicle";"37,895797";"37,005787";"42,9099";"38,170955";"40,275533"
"9";"wilt";"94,513475";"94,544338";"94,596034";"94,596034";"94,585703"
"10";"kr-vs-kp";"61,998335";"63,266016";"65,077733";"65,659973";"67,411833"
"11";"blood-transfusion-service";"73,462161";"74,935135";"75,199099";"74,73063";"74,600901"
"12";"cnae-9";"20,324073";"20,231481";"19,768517";"18,240741";"14,814815"
"13";"connectionist-mines-vs-rocks";"55,529221";"61,722944";"59,4513";"60,984849";"61,329005"
"14";"flare";"27,915623";"36,997389";"34,084929";"38,751095";"36,391627"
"15";"indian-liver-patient";"39,549253";"38,080764";"37,909963";"38,253227";"38,678366"
"16";"leukemia-haslinger";"68,70202";"77,303031";"88,267677";"85,813131";"81,848485"
"17";"mammographic-mass";"75,452686";"75,332926";"77,048489";"75,746919";"77,205813"
"18";"mfeat-karhunen";"72,4";"73,325";"74,05";"74,475";"74,8"
"19";"musk";"71,102613";"69,166318";"69,42162";"69,90174";"70,498411"
"20";"ozone-onehr";"65,433226";"61,296723";"61,471944";"60,372227";"61,119169"
"21";"pendigits";"57,202338";"57,923739";"60,891137";"61,974263";"63,243467"
"22";"planning-relax";"71,491226";"68,46491";"67,631577";"69,239764";"69,239764"
"23";"seeds";"85,476189";"88,809524";"88,09524";"88,571428";"88,571428"
"24";"semeion";"31,890739";"40,978031";"50,537151";"54,362019";"56,172115"
"25";"spectf-heart";"66,590103";"58,297384";"56,121381";"56,170167";"56,464286"
"26";"tic-tac-toe";"64,666667";"65,344298";"65,396382";"65,188048";"65,240132"
"27";"twonorm";"92,121707";"92,101374";"92,128402";"92,094643";"92,189302"
"28";"hill-valley-with-noise";"49,662297";"50,574092";"49,552919";"49,266068";"50,579291"
"29";"balance-scale";"45,699995";"54,361448";"54,33184";"60,264285";"68,387979"
"30";"car";"70,024929";"70,024929";"70,024929";"70,024929";"70,024929"
