"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"68,333333";"71,666665";"75,333333";"73,666667"
"2";"bupa";"56,806724";"56,100841";"56,983194";"57,840337";"55,130253"
"3";"segment";"78,917751";"82,619046";"84,372296";"86,991344";"87,380955"
"4";"waveform-5000";"33,449773";"34,440113";"35,121437";"38,300443";"36,797805"
"5";"phishingData";"78,44404";"80,705851";"81,709289";"82,813008";"83,563576"
"6";"mushroom";"95,894877";"97,476413";"98,110523";"98,362903";"98,418111"
"7";"pima";"60,454542";"62,440188";"65,365683";"65,824501";"65,625423"
"8";"vehicle";"45,232395";"56,732737";"61,31462";"61,82099";"64,477282"
"9";"wilt";"94,606365";"94,730588";"94,709671";"94,606365";"94,606365"
"10";"kr-vs-kp";"63,159188";"67,585081";"67,897826";"73,342133";"73,499265"
"11";"blood-transfusion-service";"75,405406";"75,938739";"76,205406";"75,938739";"75,937839"
"12";"cnae-9";"52,129629";"61,203704";"61,527776";"64,25926";"66,990742"
"13";"connectionist-mines-vs-rocks";"51,930735";"55,637446";"54,234849";"55,240259";"53,549783"
"14";"flare";"31,463836";"32,662154";"37,224776";"42,473595";"41,772396"
"15";"indian-liver-patient";"71,358495";"69,584679";"71,358495";"71,358495";"71,358495"
"16";"leukemia-haslinger";"48,989899";"69,222222";"61,292929";"59,510101";"61,848485"
"17";"mammographic-mass";"67,890572";"71,109023";"76,943915";"78,205852";"78,459277"
"18";"mfeat-karhunen";"34,125";"44,45";"50,125";"53,6";"55,125"
"19";"musk";"90,822907";"93,278567";"94,301421";"95,013681";"95,976066"
"20";"ozone-onehr";"97,121771";"97,121771";"97,121771";"97,121771";"97,121771"
"21";"pendigits";"75,584054";"80,962228";"82,554837";"83,933634";"84,487484"
"22";"planning-relax";"71,461986";"70,906431";"69,239764";"71,461986";"69,239764"
"23";"seeds";"40,238093";"80,714285";"84,04762";"85,000003";"83,095239"
"24";"semeion";"27,474782";"35,940631";"41,049651";"44,533783";"47,5841"
"25";"spectf-heart";"71,403826";"72,792715";"72,221287";"73,070493";"72,526843"
"26";"tic-tac-toe";"63,850109";"63,313704";"65,233705";"65,344954";"65,553287"
"27";"twonorm";"78,345222";"81,38556";"81,938602";"82,182308";"82,331507"
"28";"hill-valley-with-noise";"49,054458";"49,783853";"50,251353";"48,853248";"50,295064"
"29";"balance-scale";"45,921449";"46,886633";"44,602126";"46,872551";"46,634456"
"30";"car";"70,023995";"70,023995";"70,023995";"70,023995";"70,023995"
