"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"53,33333";"63,33333";"60";"70";"70"
"2";"bupa";"42,64706";"54,28571";"50";"44,28571";"47,05882"
"3";"segment";"65,36797";"78,13853";"81,16883";"82,25108";"85,06494"
"4";"waveform-5000";"33,16633";"33,3";"35,1";"42,58517";"37,6"
"5";"phishingData";"75,40687";"78,91403";"80,45249";"81,22172";"81,71946"
"6";"mushroom";"78,14039";"80,4803";"81,75092";"85,32676";"89,9754"
"7";"pima";"60,38961";"64,28571";"66,23377";"65,58442";"64,28571"
"8";"vehicle";"31,54762";"38,69048";"45,93023";"45,83333";"56,54762"
"9";"wilt";"94,42149";"94,42149";"94,42149";"94,42149";"94,52479"
"10";"kr-vs-kp";"59,6875";"61,40625";"64,375";"65,72327";"66,71875"
"11";"blood-transfusion-service";"70";"71,62162";"68,66667";"73,33333";"74,66667"
"12";"cnae-9";"24,07407";"54,16667";"58,7963";"59,25926";"62,5"
"13";"connectionist-mines-vs-rocks";"50";"47,5";"52,38095";"52,38095";"57,14286"
"14";"flare";"22,10145";"19,70803";"27,65957";"27,14286";"28,36879"
"15";"indian-liver-patient";"70,33898";"70,68966";"68,96552";"70,68966";"70,68966"
"16";"leukemia-haslinger";"59,09091";"63,63636";"50";"70";"63,63636"
"17";"mammographic-mass";"69,07216";"72,68041";"72,68041";"71,64948";"72,68041"
"18";"mfeat-karhunen";"61,75";"70";"73,5";"78,5";"77"
"19";"musk";"90,07576";"92,65152";"93,33333";"94,46131";"94,00607"
"20";"ozone-onehr";"96,65354";"96,85039";"96,85039";"96,85039";"96,65354"
"21";"pendigits";"84,01639";"85,95455";"86,63321";"88,57013";"88,33181"
"22";"planning-relax";"63,15789";"68,42105";"63,88889";"68,42105";"65,78947"
"23";"seeds";"61,90476";"71,42857";"69,04762";"73,80952";"73,80952"
"24";"semeion";"43,08176";"54,40252";"60,18519";"60,69182";"64,15094"
"25";"spectf-heart";"57,14286";"60";"52,85714";"61,42857";"64,28571"
"26";"tic-tac-toe";"63,02083";"61,05263";"62,10526";"57,8125";"64,94845"
"27";"twonorm";"91,14865";"91,14865";"91,14865";"91,35135";"91,35135"
"28";"hill-valley-with-noise";"39,7541";"41,80328";"39,7541";"45,4918";"43,85246"
"29";"balance-scale";"27,04918";"45,16129";"46,03175";"46,8254";"49,19355"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
