"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"63,33333";"60";"66,66667";"60"
"2";"bupa";"44,11765";"44,28571";"51,47059";"45,58824";"50"
"3";"segment";"67,53247";"77,27273";"79,00433";"77,70563";"82,03463"
"4";"waveform-5000";"32,93413";"33,06613";"33,23353";"32,83433";"33,33333"
"5";"phishingData";"79,06872";"80,65099";"81,40271";"82,09765";"82,68535"
"6";"mushroom";"74,35265";"76,10837";"74,53875";"76,26076";"77,37361"
"7";"pima";"61,03896";"59,21053";"62,33766";"62,33766";"64,93506"
"8";"vehicle";"39,41176";"50,60241";"51,17647";"52,94118";"57,64706"
"9";"wilt";"94,43299";"94,43299";"94,43299";"94,43299";"94,43299"
"10";"kr-vs-kp";"54,38871";"59,56113";"57,05329";"59,87461";"68,59375"
"11";"blood-transfusion-service";"72,97297";"72,66667";"76";"68";"75,33333"
"12";"cnae-9";"40,27778";"46,2963";"52,77778";"61,11111";"59,25926"
"13";"connectionist-mines-vs-rocks";"42,85714";"45";"45,2381";"52,38095";"50"
"14";"flare";"28,26087";"24,46043";"20,71429";"28,57143";"28,26087"
"15";"indian-liver-patient";"70,68966";"70,68966";"66,37931";"70,68966";"68,10345"
"16";"leukemia-haslinger";"44,44444";"60";"55";"55";"40"
"17";"mammographic-mass";"53,125";"53,60825";"62,5";"70,3125";"69,79167"
"18";"mfeat-karhunen";"22,75";"30,5";"37,25";"43,75";"40,75"
"19";"musk";"87,27273";"88,25758";"91,36364";"91,21212";"92,87879"
"20";"ozone-onehr";"93,89764";"95,07874";"96,24506";"96,45669";"96,65354"
"21";"pendigits";"73,63636";"76,68488";"79,17046";"81,1192";"82,22425"
"22";"planning-relax";"58,33333";"44,44444";"50";"68,42105";"66,66667"
"23";"seeds";"52,38095";"66,66667";"69,04762";"69,04762";"69,04762"
"24";"semeion";"17,1875";"25,4717";"28,57143";"32,8125";"36,47799"
"25";"spectf-heart";"48,61111";"65,71429";"65,71429";"61,42857";"67,14286"
"26";"tic-tac-toe";"61,45833";"53,15789";"60,9375";"61,57895";"63,02083"
"27";"twonorm";"82,07037";"83,01759";"81,64642";"83,76184";"82,97297"
"28";"hill-valley-with-noise";"47,5";"45,90164";"46,28099";"43,80165";"49,58333"
"29";"balance-scale";"38,88889";"26,6129";"45,90164";"43,65079";"44,35484"
"30";"car";"45,97701";"69,54023";"69,54023";"69,54023";"69,54023"
