"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"66,66667";"63,33333";"66,66667";"70";"73,33333"
"2";"bupa";"48,52941";"40";"42,64706";"42,85714";"37,14286"
"3";"segment";"50,4329";"52,1645";"55,41126";"51,51515";"54,54545"
"4";"waveform-5000";"38,17635";"48,00399";"52,58964";"53,5";"52,89421"
"5";"phishingData";"66,78733";"74,4575";"78,84268";"79,43038";"79,70163"
"6";"mushroom";"89,28571";"89,28571";"89,8524";"89,96305";"89,22414"
"7";"pima";"61,18421";"64,28571";"66,23377";"64,93506";"63,81579"
"8";"vehicle";"28,23529";"28,23529";"38,82353";"35,29412";"27,64706"
"9";"wilt";"93,91753";"94,30642";"94,43299";"94,43299";"94,43299"
"10";"kr-vs-kp";"55,78125";"59,6875";"59,40439";"62,06897";"63,16614"
"11";"blood-transfusion-service";"70";"71,33333";"72,66667";"71,33333";"71,33333"
"12";"cnae-9";"13,88889";"13,42593";"11,57407";"15,27778";"11,11111"
"13";"connectionist-mines-vs-rocks";"40,47619";"42,5";"45,2381";"45,2381";"45,2381"
"14";"flare";"6,15942";"23,72263";"24,46043";"31,52174";"29,56204"
"15";"indian-liver-patient";"33,05085";"33,89831";"34,74576";"35,59322";"34,74576"
"16";"leukemia-haslinger";"35";"30";"72,22222";"72,22222";"65"
"17";"mammographic-mass";"64,94845";"67,1875";"69,27083";"68,75";"67,70833"
"18";"mfeat-karhunen";"61,5";"68,5";"68,75";"68,75";"69,25"
"19";"musk";"57,42424";"61,9697";"65,60606";"61,66667";"64,94689"
"20";"ozone-onehr";"55,13834";"53,54331";"55,73123";"52,75591";"57,11462"
"21";"pendigits";"54,13636";"56,09645";"58,71935";"58,59091";"59,77273"
"22";"planning-relax";"65,78947";"63,15789";"60,52632";"61,11111";"63,88889"
"23";"seeds";"73,80952";"80,95238";"76,19048";"80,95238";"76,19048"
"24";"semeion";"21,69811";"29,01235";"44,96855";"52,51572";"51,89873"
"25";"spectf-heart";"54,28571";"52,85714";"50";"50";"48,57143"
"26";"tic-tac-toe";"60,41667";"64,58333";"64,58333";"64,0625";"64,0625"
"27";"twonorm";"91,09312";"91,29555";"91,22807";"91,22807";"91,29555"
"28";"hill-valley-with-noise";"45,45455";"45,83333";"46,31148";"43,80165";"44,6281"
"29";"balance-scale";"9,52381";"45,16129";"46,03175";"50";"64,51613"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
