"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"53,33333";"63,33333";"60";"63,33333"
"2";"bupa";"47,05882";"50";"50";"51,42857";"31,42857"
"3";"segment";"76,19048";"79,43723";"78,78788";"84,19913";"85,49784"
"4";"waveform-5000";"33";"33,03393";"33";"33";"32,2"
"5";"phishingData";"75,70136";"77,93852";"79,30254";"81,74819";"81,44796"
"6";"mushroom";"94,15025";"96,79408";"97,53695";"97,72448";"97,53695"
"7";"pima";"50";"50";"63,63636";"64,93506";"63,63636"
"8";"vehicle";"34,52381";"48,21429";"48,82353";"55,95238";"59,52381"
"9";"wilt";"94,43299";"94,43299";"94,43299";"94,43299";"94,43299"
"10";"kr-vs-kp";"52,65625";"62,96875";"65,04702";"70,9375";"68,75"
"11";"blood-transfusion-service";"68";"74";"76";"73,33333";"74,66667"
"12";"cnae-9";"45,37037";"55,55556";"49,07407";"60,64815";"60,18519"
"13";"connectionist-mines-vs-rocks";"42,85714";"37,5";"47,5";"47,5";"45"
"14";"flare";"22,5";"25,71429";"28,57143";"39,56835";"36,07143"
"15";"indian-liver-patient";"70,68966";"50";"70,68966";"70,68966";"70,68966"
"16";"leukemia-haslinger";"44,44444";"50";"50";"50";"50"
"17";"mammographic-mass";"53,60825";"53,68421";"63,02083";"74,2268";"72,91667"
"18";"mfeat-karhunen";"23,25";"38,5";"42,5";"46,25";"47,75"
"19";"musk";"89,01515";"91,28788";"92,5";"93,48485";"95"
"20";"ozone-onehr";"96,85039";"96,85039";"96,85039";"96,85039";"96,85039"
"21";"pendigits";"72,70663";"79,38238";"81,49499";"81,69846";"83,43949"
"22";"planning-relax";"68,42105";"66,66667";"50";"68,42105";"50"
"23";"seeds";"33,33333";"64,28571";"76,19048";"76,19048";"71,42857"
"24";"semeion";"18,01242";"30,50314";"34,375";"39,30818";"41,8239"
"25";"spectf-heart";"58,33333";"71,42857";"68,57143";"71,42857";"65,27778"
"26";"tic-tac-toe";"50";"54,16667";"60";"64,94845";"64,94845"
"27";"twonorm";"50";"79,86486";"80";"81,01351";"80,36437"
"28";"hill-valley-with-noise";"40,08264";"44,6281";"43,80165";"38,01653";"47,54098"
"29";"balance-scale";"38,09524";"45,16129";"29,5082";"45,16129";"45,16129"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
