"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"93,33333";"93,33333";"96,66667";"90";"96,66667"
"2";"bupa";"60,29412";"58,82353";"58,82353";"61,42857";"61,76471"
"3";"segment";"81,38528";"82,68398";"85,06494";"87,66234";"88,96104"
"4";"waveform-5000";"45,5";"54,60922";"55,08982";"61,02204";"60,82164"
"5";"phishingData";"82,32369";"82,80543";"83,8914";"84,57014";"84,94575"
"6";"mushroom";"89,8399";"91,69742";"91,63592";"92,31242";"92,12792"
"7";"pima";"74,02597";"69,73684";"70,77922";"68,83117";"71,42857"
"8";"vehicle";"56,54762";"65,88235";"65,47619";"64,11765";"68,02326"
"9";"wilt";"94,7205";"94,82402";"94,7314";"94,6281";"94,83471"
"10";"kr-vs-kp";"69,21875";"73,75";"74,21875";"74,53125";"76,71875"
"11";"blood-transfusion-service";"76";"78";"78,37838";"77,02703";"79,33333"
"12";"cnae-9";"58,7963";"68,05556";"68,98148";"68,98148";"73,14815"
"13";"connectionist-mines-vs-rocks";"66,66667";"78,57143";"76,19048";"83,33333";"83,33333"
"14";"flare";"34,78261";"35,35714";"34,28571";"36,07143";"41,78571"
"15";"indian-liver-patient";"72,41379";"72,41379";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"95";"95";"95";"95";"100"
"17";"mammographic-mass";"81,77083";"84,02062";"81,57895";"84,53608";"82,8125"
"18";"mfeat-karhunen";"76,25";"80,25";"81,25";"84,5";"86,5"
"19";"musk";"94,24242";"94,54545";"96,28225";"96,43939";"96,73748"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"86,7152";"89,06534";"90,1184";"90,25501";"91,12022"
"22";"planning-relax";"72,22222";"75";"72,22222";"72,22222";"72,22222"
"23";"seeds";"95,2381";"92,85714";"92,85714";"92,85714";"92,85714"
"24";"semeion";"59,6875";"68,86792";"68,4375";"70,44025";"72,32704"
"25";"spectf-heart";"79,41176";"72,85714";"78,57143";"75,71429";"80"
"26";"tic-tac-toe";"66,31579";"66,14583";"68,22917";"66,66667";"69,07216"
"27";"twonorm";"92,22973";"92,56757";"92,90541";"92,82815";"92,55751"
"28";"hill-valley-with-noise";"55,7377";"59,50413";"58,33333";"55,78512";"56,55738"
"29";"balance-scale";"46,77419";"48,3871";"58,06452";"62,09677";"69,84127"
"30";"car";"70,76023";"70,76023";"70,76023";"70,76023";"70,76023"
