"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"76,66667";"93,33333";"86,66667";"90";"90"
"2";"bupa";"61,76471";"58,82353";"61,42857";"61,76471";"62,85714"
"3";"segment";"75,97403";"83,98268";"83,33333";"85,93074";"86,58009"
"4";"waveform-5000";"36,42715";"38,9";"36,72655";"39,4";"42,98597"
"5";"phishingData";"80,42495";"81,90045";"83,00181";"83,52941";"84,75113"
"6";"mushroom";"83,12808";"90,1599";"89,9139";"91,69742";"89,47044"
"7";"pima";"70,12987";"72,72727";"69,73684";"70,12987";"73,68421"
"8";"vehicle";"54,16667";"63,52941";"68,6747";"65,88235";"61,62791"
"9";"wilt";"95,97107";"95,96273";"95,97107";"94,7314";"95,04132"
"10";"kr-vs-kp";"67,03125";"67,5";"71,71875";"74,0625";"76,875"
"11";"blood-transfusion-service";"77,02703";"79,33333";"77,02703";"78,66667";"78,37838"
"12";"cnae-9";"64,35185";"64,81481";"66,66667";"67,12963";"64,81481"
"13";"connectionist-mines-vs-rocks";"64,28571";"72,5";"71,42857";"73,80952";"71,42857"
"14";"flare";"42,14286";"40,64748";"39,78102";"39,20863";"40,57971"
"15";"indian-liver-patient";"72,41379";"73,27586";"72,41379";"73,27586";"72,41379"
"16";"leukemia-haslinger";"50";"85";"85";"85";"85"
"17";"mammographic-mass";"85,41667";"82,8125";"83,85417";"82,8125";"82,8125"
"18";"mfeat-karhunen";"41";"51";"49";"54";"58,25"
"19";"musk";"89,16667";"93,0303";"94,15781";"94,99241";"94,91654"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"77,63636";"81,13036";"84,16742";"85,07734";"84,43739"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"100";"100";"97,61905";"100";"100"
"24";"semeion";"28,93082";"38,36478";"41,50943";"50,62893";"46,54088"
"25";"spectf-heart";"74,28571";"74,28571";"82,35294";"78,57143";"81,42857"
"26";"tic-tac-toe";"65,97938";"66,31579";"67,36842";"67,36842";"69,27083"
"27";"twonorm";"85,74324";"85";"85,81081";"86,14865";"86,41892"
"28";"hill-valley-with-noise";"62,5";"60,83333";"57,78689";"63,33333";"62,08333"
"29";"balance-scale";"46,77419";"50,79365";"57,25806";"54,7619";"62,09677"
"30";"car";"70,34884";"70,34884";"70,34884";"70,34884";"70,34884"
