"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"80";"96,66667";"93,33333";"96,66667";"96,66667"
"2";"bupa";"58,82353";"61,42857";"62,85714";"58,57143";"67,64706"
"3";"segment";"62,55411";"62,12121";"64,71861";"67,09957";"66,66667"
"4";"waveform-5000";"55,1";"58,1";"57,6";"58";"57,37052"
"5";"phishingData";"73,73418";"75,45208";"80,27149";"82,73056";"82,77577"
"6";"mushroom";"93,16502";"92,67241";"92,85714";"92,67241";"92,86593"
"7";"pima";"72,72727";"77,27273";"75,97403";"77,92208";"73,37662"
"8";"vehicle";"41,27907";"43,45238";"45,2381";"42,2619";"47,61905"
"9";"wilt";"94,6281";"94,6281";"94,6281";"94,6281";"95,04132"
"10";"kr-vs-kp";"65,3605";"68,02508";"67,86834";"70,53292";"71,09375"
"11";"blood-transfusion-service";"77,02703";"77,33333";"76";"77,33333";"76"
"12";"cnae-9";"28,24074";"23,61111";"26,38889";"20,83333";"24,53704"
"13";"connectionist-mines-vs-rocks";"61,90476";"61,90476";"71,42857";"70";"75"
"14";"flare";"42,44604";"46,01449";"44,56522";"38,4058";"40,35714"
"15";"indian-liver-patient";"49,13793";"50,86207";"46,55172";"44,82759";"46,55172"
"16";"leukemia-haslinger";"90";"95";"95";"95";"95"
"17";"mammographic-mass";"82,8125";"84,89583";"80,72917";"83,85417";"82,29167"
"18";"mfeat-karhunen";"76,5";"77,75";"78";"78,75";"79"
"19";"musk";"76,81818";"77,12121";"78,93939";"80,98485";"81,33536"
"20";"ozone-onehr";"78,4585";"67,51969";"66,60079";"66,20553";"65,55118"
"21";"pendigits";"64,18182";"67,24138";"69,65423";"69,51774";"71,14338"
"22";"planning-relax";"72,22222";"75";"75";"72,22222";"73,68421"
"23";"seeds";"97,61905";"100";"100";"100";"100"
"24";"semeion";"48,42767";"52,21519";"55,6962";"59,1195";"60,75949"
"25";"spectf-heart";"76,38889";"68,05556";"69,44444";"68,05556";"68,05556"
"26";"tic-tac-toe";"65,625";"65,625";"65,625";"67,1875";"66,66667"
"27";"twonorm";"93,03112";"93,16644";"92,96346";"93,2341";"92,96346"
"28";"hill-valley-with-noise";"56,19835";"53,27869";"57,02479";"56,61157";"56,61157"
"29";"balance-scale";"58,87097";"63,49206";"57,14286";"70,63492";"72,58065"
"30";"car";"70,76023";"70,76023";"70,76023";"70,76023";"70,76023"
